Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Cafe tostado en grano expresso Bonafide X 1 Kg,https://www.mercadolibre.com.ar/cafe-tostado-en-grano-expresso-bonafide-x-1-kg/p/MLA19979571?pdp_filters=category:MLA409407#searchVariation=MLA19979571&position=12&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,35.000,BONAFIDE ONLINE,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1412732322,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Tostado Molido Espresso La Virginia 500 G Sin Tacc,https://www.mercadolibre.com.ar/cafe-tostado-molido-espresso-la-virginia-500-g-sin-tacc/p/MLA20732424?pdp_filters=category:MLA409407#searchVariation=MLA20732424&position=14&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,10.315,Ecomodico,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1295491709,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido Intermezzo X 250 G Segafredo Zanetti,https://www.mercadolibre.com.ar/cafe-molido-intermezzo-x-250-g-segafredo-zanetti/p/MLA20025887?pdp_filters=category:MLA409407#searchVariation=MLA20025887&position=16&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,7.500,MERCADOGOURMET ONLINE,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1321017171,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Cappuccino Tradicional La Virginia Repuesto X 125 Gr,https://www.mercadolibre.com.ar/cafe-cappuccino-tradicional-la-virginia-repuesto-x-125-gr/p/MLA19640009?pdp_filters=category:MLA409407#searchVariation=MLA19640009&position=6&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,2.470,Ecomodico,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1186155476,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez molido tostado Brasil 500g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-brasil-500g-sin-azucar-agregada/p/MLA20721602?pdp_filters=category:MLA409407#searchVariation=MLA20721602&position=18&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,16.800,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1308505910,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido La Virginia Torrado Equilibrado X 1 Kg,https://www.mercadolibre.com.ar/cafe-molido-la-virginia-torrado-equilibrado-x-1-kg/p/MLA19979553?pdp_filters=category:MLA409407#searchVariation=MLA19979553&position=23&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,10.449,INSUMOSCENTERONLINE,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1382817796,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Nescafé Gold Tostado Molido Equilibrado 250gr,https://www.mercadolibre.com.ar/nescafe-gold-tostado-molido-equilibrado-250gr/p/MLA20026486?pdp_filters=category:MLA409407#searchVariation=MLA20026486&position=24&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,17.000,TUPIXIE,Nuevo  |  +5mil vendidos,No disponible,Nuevo  |  +5mil vendidos,No disponible,#1421704773,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido Espresso Casa Segafredo Zanetti 250 G. Pack X8,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=o2BFx5DZPzxMTPavAnL%2BbMmWdxYfeAqSF8UYmLjEP4ugqjJ5NLWb9rSzyZLr20%2FfM5689ObxgL4SNaIIFAqaPx8OlRcoiAjFIofAiYQV2WAwRk1S9FNd8r8yX3JWU%2BaT%2BVECygjp0eENXFigRsjTbPob8YQYHFphyK1TPWlzWhl3TsQvYoxjQZdVMLIwCVv14U1EWGYrcygEMt7VqpmKZ8HK8BHL22ddyxmcaUhq9kJhxcHKRNohtVmrqOpW%2BIFI1Bt86uoxeQ1BvftC5QZWbui4oFnZLQt2stE0LWsLivltlEOf0%2Bxbp42qfGLH%2B9sE6yaNB8RgIbpVE2hzGEAdKWpQ81b1hafTTRYn%2FeE%2BufWLsyKapwx7hOkwB5YyCnN17w6AKN92NJ%2BM7cR9Uv8cB0WFXXpK%2F0wLSiXZqRHw%2F1xuJ56DVevvdddUgVlXek%2B5WZiLz4ztdEk9r67i4ozPaku1aiLv2gxHkta1pOqQDmTnqDvj32cBjl328junm709aOtFPezdFknPZhJtds2YEvY7G7663UfkSNFoIBr2xS%2Bywi%2BAD9uCEY18P57sKMAoyWV6HxE1w3%2BRWnm%2F3rViTI%2FnQWG%2FvZNtVDEsP%2FgqsHVAIrapeo9XWOagxtjpxNITfCVI1NH36pE0b0pOpzcHC2l%2F0G%2FOauzKwFZyuXqEesg0G6pWeZW6pZW6VCijB48FxkLuOqZOedqipvTBSz52hd48275urlQ%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,61.854,MERCADOGOURMET ONLINE,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1291745543,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café De Especialidad Molido Brasil Rosa Amarela X 1 Kg Drupa,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=fJ3tnu%2B0WBElMDMhlDXzxCjqeUiROHWECNzzKoeuXhmN2%2B9Xz63hVNT9%2BpmFyjma%2Fu2M%2FI%2FvnrifVsjPbkKq8pJcuMDv%2BTxVPaykDpYO4AFy3RfatE8EIF6uvKCM3CNFvdEkoPyIevvqQufQ4uoSUC2oIJRp2KvEgon2y1v7kavQuEa%2FkyRcRldJP449XaW9Ikvqrj7FM2nchgIYljW6iMLrlUVN3Bl22cKgiLCJjsM1PQz7QBTBFyQKPQbj1LDebNpFTMMVlEMOFAGfqqskBXTJV5QAl9v4Leq5NtRlhjL2JLENZ5vcnyL%2B5%2Fy11ZN7muMWPEDkQ9O20FgimfRAdbqwbzd5lZG%2BSi2j2dKq6h%2FMuOMHgBCkX%2B2uIMRNnb0hz7NAs3CqebouJ2agQeDD4ZHkR44e%2BwpfpIIRVazbk8yPmwh7vBv2fwT70HK3spOWmjjMXG2Y73eQwxqIfodbOmvQAMt3VO4Xhla29KO%2BPImmMhjJGPFtEXGZdLy9%2F7zmytCw9epYzFYFfbiUA9a4r24PgyXkchUurMDIuap01604pp1hTmPdQID350S8Wq1CDKOULBH6XRZK4sC31OfGJfYfzIefIANMwquwDqr3SRM1%2BrhXDofYtbqbEk4GtWMP5fxFCUgEdmprYN6jKbUYRwKIEPKUJ8CrwLoBQAR8%2FsaM4rgsd%2FBTCcarPcsIHQhGs5KBs3tI80o8yGGavNsTaB7MDjMfVPV8fc%2F%2F&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,34.776,TIENDA.FUNDADOR,Nuevo  |  +50 vendidos,(+50 disponibles),Nuevo  |  +50 vendidos,No disponible,#1124409306,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Illy Molido Espresso Tostado Clásico Blend 100% Arábica,https://www.mercadolibre.com.ar/cafe-illy-molido-espresso-tostado-clasico-blend-100-arabica/p/MLA19937587?pdp_filters=category:MLA409407#searchVariation=MLA19937587&position=13&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,10.778,DEVOTOFERTAS,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1323493674,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
