Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Yerba mate Canarias Serena 1kg,https://www.mercadolibre.com.ar/yerba-mate-canarias-serena-1kg/p/MLA20008630?pdp_filters=category:MLA409408#searchVariation=MLA20008630&position=13&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,7.906,PRIMOR MAYORISTA,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1412731354,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Tucangua Misionera X5kg,https://www.mercadolibre.com.ar/yerba-tucangua-misionera-x5kg/p/MLA22308446?pdp_filters=category:MLA409408#searchVariation=MLA22308446&position=14&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,22.878,TIENDA ANDALHUE,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1376169199,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Canarias tradicional 1kg,https://www.mercadolibre.com.ar/yerba-mate-canarias-tradicional-1kg/p/MLA21186915?pdp_filters=category:MLA409408#searchVariation=MLA21186915&position=15&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,6.500,TIENDABLUARGENTINA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1414375695,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cachamate Sabor Coco X 500 Gr Nueva Producto! Sin Tacc,https://www.mercadolibre.com.ar/yerba-cachamate-sabor-coco-x-500-gr-nueva-producto-sin-tacc/p/MLA21882465?pdp_filters=category:MLA409408#searchVariation=MLA21882465&position=8&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,2.499,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1360784256,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Cosmico 500g,https://www.mercadolibre.com.ar/yerba-mate-cosmico-500g/p/MLA34166638?pdp_filters=category:MLA409408#searchVariation=MLA34166638&position=17&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,34.000,ASIQUEBUENOSRL,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1696268690,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Mañanita 4 Flex Con Palo Sin Tacc 1kg,https://www.mercadolibre.com.ar/yerba-mate-mananita-4-flex-con-palo-sin-tacc-1kg/p/MLA19973281?pdp_filters=category:MLA409408#searchVariation=MLA19973281&position=18&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,4.299,CAPSULANDIA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1451223498,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Grapia Milenaria 1 Kg. Estacionamiento Natural,https://www.mercadolibre.com.ar/yerba-mate-grapia-milenaria-1-kg-estacionamiento-natural/p/MLA21361701?pdp_filters=category:MLA409408#searchVariation=MLA21361701&position=21&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,5.700,Alma Nativa,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1594813528,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Barbacuá Picada Vieja 20 X 500 Gr,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ZP4d22eXfLHaQdqXg7P%2BVSbcY7zQ6zng8ErmwDHQ15TXqY%2FZI6gRWi08WAgbHEzmgCBf1hH%2BtFBYG6W7VO6gYlEkQJolYF6%2FnifljlBLaQxG708t7t%2F9WMLZo4u9sG5qXF7seivM5uAq3OkPO6Tjcm4RfeopbkBI40eJL0XxYbRJTZFtTb71%2FY3FT6Cl8pVzfGIfFYqpLqV9UgPGmGWm0SNxTg4SlJf9ynQZ6OxgD%2BafHlipkcc4z0ntiU0KSz17XuHN96MoqCcAhKKnIyU28AOyZWm7kUN2xlKRpuSmzA%2BloJhxfTzOtF02YXm3ORUat3zb68eDYbKq12lUnUcheFeM7d0olW38IxKoH2G4bsN%2BToS3zLo5PMLabIVFmdJ7TPsQycvjQZUPj4wjjKxQwHcC4mMRmMTQ%2BaviI2xAYkTrVayTR2qRVwz6qM0XvHvpYsSSutFP9p19CG3cL5ShhQyJTqk5W0lb%2F2306mg0AcLfI4zRfkibD0uLgoYr13a3kezTDvVPwdCjjAJ%2FiL4zTbn4Uig2LEEyI%2FDkmzndvHYgAohXm%2BUGvVBdyjc86UY83A4oGvCITX82htiWgrSvLINOauCg8hW0ENNJ0FRx8nCodr23%2Bf9P97uxb16EDYAdXsYcra59%2Bq3sG5YDKQcoSPvrWnKWl%2F89uuSayfE4jSPS5FcTNw0tSSDJNNiZ65H3CtiBlbdZFDunng%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,55.691,SEMILLA VIVA,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1171681729,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Pack 3 X 1 K Yerba Roapipo Orgánica Suave ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=QVBvj4yagwATKb3dS9nlGh%2BH2mh%2BEoCQ0smeu313YxpRczxGg4iwb3Bt6WJMGT3VL7s6MMrVD2ddHUwUYvxsdwzl1Df7rZQzeFmtEp7tYbVItaIr8GxrZ%2BnK7CTjzX6Un0yMCVs8rYZetI9S6MGg17lyH1V9Fh1wQXjTC5shMbgMgyAvF4SKqVha5n7w%2FJKDl4rMcSt3vDhz6AkFqE61CrEVG5PLcaq0UuAK8T9L%2Fmf81RbkjtdTCJUTKUIQ8obfU4Ss150aweB%2FZm99lusqM5f%2FGxSZp6TL1spMnsBCIt4lRTS%2FeLWYLRLuFOD075fQsr%2FTnR4Gj1ZyuM%2BUydEX1%2F9om0SWL2YpAmtmeQWy4V9USIVeS8L56UfsauczhAmMLcwsyYJPXiADvHXclFlxWXVPjOhNuJTYwiJ1I0ndW9Dicumg4l%2B0NgxvLDXqjpPtm82LIGjeH46v2o1fPtclnDYOysFx8SexnuQdFecX28aLZaRAzSDrQG6n6vvGkDKcTDYojawXPHeyZEdoW1r%2BP28DvSSzk450ip9qsbhKo1GNvfm1ZVA6dhWKGXcmfLcFMAnzrjGovKWmtvb44CMfy4GGOMNPHAHRXV6vv%2B6zvbN9Q7wzY8Np6W0ifN1N6UVas6pggVr9NPrrq6IznndUn%2BgNAr98Xvrli6bziWZqbafKdA1AnyBYupZrRCo75fHJhrA869o%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,20.160,LEONVEGANO,Nuevo  |  +25 vendidos,(+50 disponibles),Nuevo  |  +25 vendidos,No disponible,#933329304,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Verdeflor hierbas serranas 1kg,https://www.mercadolibre.com.ar/yerba-mate-verdeflor-hierbas-serranas-1kg/p/MLA21305066?pdp_filters=category:MLA409408#searchVariation=MLA21305066&position=22&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,3.399,CAPSULANDIA,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1372229447,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
