Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Azucar Ledesma Clásica Paquete De 1 Kilo,https://www.mercadolibre.com.ar/azucar-ledesma-clasica-paquete-de-1-kilo/p/MLA19992609?pdp_filters=category:MLA1423#searchVariation=MLA19992609&position=5&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,1.527,Mayorista Masivos,Nuevo  |  +50mil vendidos,(327 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1286248984,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azúcar Ledesma Rubia Mascabo Paquete 800 Grs,https://www.mercadolibre.com.ar/azucar-ledesma-rubia-mascabo-paquete-800-grs/p/MLA19936260?pdp_filters=category:MLA1423#searchVariation=MLA19936260&position=6&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,1.799,CAPSULANDIA,Nuevo  |  +10mil vendidos,(53 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1384625577,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azúcar Ledesma Clásica 1kg,https://articulo.mercadolibre.com.ar/MLA-1317424046-azucar-ledesma-clasica-1kg-_JM#position=42&search_layout=stack&type=item&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,1.611,GRUPO ELNENE,Nuevo  |  +10mil vendidos,(4 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1317424046,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azucar Impalpable Talco 1 Kg,https://www.mercadolibre.com.ar/azucar-impalpable-talco-1-kg/p/MLA20723150?pdp_filters=category:MLA1423#searchVariation=MLA20723150&position=8&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,2.899,DULCECOCOSTORE,Nuevo  |  +10mil vendidos,(2 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1414760022,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Cafe Martinez molido tostado Brasil 500g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-brasil-500g-sin-azucar-agregada/p/MLA20721602?pdp_filters=category:MLA1423#searchVariation=MLA20721602&position=2&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,15.960,Cafe Martinez,Nuevo  |  +1000 vendidos,(674 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1308505910,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Azúcar Ledesma Selección Blanco 1000 Sobres 5grs Pack 1 Caja,https://www.mercadolibre.com.ar/azucar-ledesma-seleccion-blanco-1000-sobres-5grs-pack-1-caja/p/MLA29666896?pdp_filters=category:MLA1423#searchVariation=MLA29666896&position=12&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,15.500,OfiShop,Nuevo  |  +1000 vendidos,(69 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1416380231,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azucar Individual Chango De 1000 Sobres,https://www.mercadolibre.com.ar/azucar-individual-chango-de-1000-sobres/p/MLA21049595?pdp_filters=category:MLA1423#searchVariation=MLA21049595&position=4&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,16.990,POSTA LOCALES,Nuevo  |  +1000 vendidos,(13 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1306027200,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azucar Blanca Chango en sobres x 100 unidades por 5g c/u - sin tacc,https://www.mercadolibre.com.ar/azucar-blanca-chango-en-sobres-x-100-unidades-por-5g-cu-sin-tacc/p/MLA21888697?pdp_filters=category:MLA1423#searchVariation=MLA21888697&position=3&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,3.017,OPENPRICE SUC2,Nuevo  |  +1000 vendidos,(6 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1400969517,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Cafe Martinez molido tostado selecto 250g sin azúcar agregada	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-selecto-250g-sin-azucar-agregada/p/MLA20026219?pdp_filters=category:MLA1423#searchVariation=MLA20026219&position=1&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,10.450,Cafe Martinez,Nuevo  |  +1000 vendidos,(199 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282492756,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Azucar De Caña Organica Ying Yang 1kg  Sin Tacc Vegano,https://www.mercadolibre.com.ar/azucar-de-cana-organica-ying-yang-1kg-sin-tacc-vegano/p/MLA20011156?pdp_filters=category:MLA1423#searchVariation=MLA20011156&position=17&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,4.449,VÍVET MARKET,Nuevo  |  +5mil vendidos,(92 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1288628150,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azucar De Coco God Bless You Doypack de 250gr,https://www.mercadolibre.com.ar/azucar-de-coco-god-bless-you-doypack-de-250gr/p/MLA20011148?pdp_filters=category:MLA1423#searchVariation=MLA20011148&position=15&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,10.698,TIENDA ANDALHUE,Nuevo  |  +1000 vendidos,(8 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1283544210,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Dicomere Azucar Organica 1000g,https://www.mercadolibre.com.ar/dicomere-azucar-organica-1000g/p/MLA20011121?pdp_filters=category:MLA1423#searchVariation=MLA20011121&position=9&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,5.890,OLIVADONMATEO,Nuevo  |  +1000 vendidos,(12 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1404677362,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Cafe Martinez tostado molido Brasil 250g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-tostado-molido-brasil-250g-sin-azucar-agregada/p/MLA20026339?pdp_filters=category:MLA1423#searchVariation=MLA20026339&position=14&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,8.521,Cafe Martinez,Nuevo  |  +1000 vendidos,(194 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282331780,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Azúcar Chango 1kg X Unidad -,https://www.mercadolibre.com.ar/azucar-chango-1kg-x-unidad-/p/MLA20011142?pdp_filters=category:MLA1423#searchVariation=MLA20011142&position=10&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,1.999,ARTICULOS MOHE,Nuevo  |  +10mil vendidos,(28 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1458138474,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azúcar Hileret Light 50% Menos Calorias Paquete 250 Grs,https://www.mercadolibre.com.ar/azucar-hileret-light-50-menos-calorias-paquete-250-grs/p/MLA19942386?pdp_filters=category:MLA1423#searchVariation=MLA19942386&position=11&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,1.650,3J S.C.I.,Nuevo  |  +5mil vendidos,(4 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1288471223,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azucar Ledesma Clásica Bulto 10 Unidades X 1 Kilo,https://www.mercadolibre.com.ar/azucar-ledesma-clasica-bulto-10-unidades-x-1-kilo/p/MLA21641667?pdp_filters=category:MLA1423#searchVariation=MLA21641667&position=7&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,15.807,OfiShop,Nuevo  |  +1000 vendidos,(118 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1658727572,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Cafe Molido Segafredo Espresso Casa 250g Tostado Sin Azucar,https://www.mercadolibre.com.ar/cafe-molido-segafredo-espresso-casa-250g-tostado-sin-azucar/p/MLA19979543?pdp_filters=category:MLA1423#searchVariation=MLA19979543&position=20&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,7.499,CAPSULANDIA,Nuevo  |  +10mil vendidos,(660 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1277672398,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Azúcar Ledesma Light 50% Menos Calorias  Paquete 500 Gr,https://www.mercadolibre.com.ar/azucar-ledesma-light-50-menos-calorias-paquete-500-gr/p/MLA19957257?pdp_filters=category:MLA1423#searchVariation=MLA19957257&position=25&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,1.438,Mayorista Masivos,Nuevo  |  +1000 vendidos,(77 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1281951006,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azúcar Blanca La Tikay Común Tipo A - Mejor Precio,https://articulo.mercadolibre.com.ar/MLA-1124577963-azucar-blanca-la-tikay-comun-tipo-a-mejor-precio-_JM#position=43&search_layout=stack&type=item&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,1.286,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(248 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1124577963,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azucar Comun Tipo A Azucel X 1 Kg,https://www.mercadolibre.com.ar/azucar-comun-tipo-a-azucel-x-1-kg/p/MLA20730347?pdp_filters=category:MLA1423#searchVariation=MLA20730347&position=13&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,1.374,ARTICULOS MOHE,Nuevo  |  +1000 vendidos,(75 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1379268179,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Almibares Para Cafeteria. Main Fusion Iac. Sabor Caramelo,https://www.mercadolibre.com.ar/almibares-para-cafeteria-main-fusion-iac-sabor-caramelo/p/MLA21628871?pdp_filters=category:MLA1423#searchVariation=MLA21628871&position=28&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,11.950,MAINFUSION,Nuevo  |  +10mil vendidos,(17 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1338768006,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Saborizantes y Jarabes,Jarabes,nan
Azúcar Mascabo Red Cañera 500 Grs,https://www.mercadolibre.com.ar/azucar-mascabo-red-canera-500-grs/p/MLA21362119?pdp_filters=category:MLA1423#searchVariation=MLA21362119&position=16&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,3.515,Alma Nativa,Nuevo  |  +1000 vendidos,(109 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1325106343,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azúcar Ledesma Rubia Mascabo Paquete 800 Grs Pack 6 Unidades,https://www.mercadolibre.com.ar/azucar-ledesma-rubia-mascabo-paquete-800-grs-pack-6-unidades/p/MLA27815474?pdp_filters=category:MLA1423#searchVariation=MLA27815474&position=18&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,9.996,RISTRETTO MARKET,Nuevo  |  +500 vendidos,(120 disponibles),Nuevo  |  +500 vendidos,No disponible,#1416243661,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azúcar mascabo Ba-La-Ju 500g,https://www.mercadolibre.com.ar/azucar-mascabo-ba-la-ju-500g/p/MLA21860232?pdp_filters=category:MLA1423#searchVariation=MLA21860232&position=23&search_layout=stack&type=product&tracking_id=c6769ff8-f3a1-451a-bfc0-2e9b702f6fb9,2.406,SEMILLA VIVA,Nuevo  |  +1000 vendidos,(80 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1400068886,2024-03-26 15:20:44,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
