Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Yerba Mate De Campo La Merced 500g C/ Palo Original Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-de-campo-la-merced-500g-c-palo-original-sin-tacc/p/MLA19956928?pdp_filters=category:MLA409408#searchVariation=MLA19956928&position=5&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,4.200,OPEN25HS ,Nuevo  |  +50mil vendidos,(2 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1395567061,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Orgánica Pampa 1/2 Kg. Sabor Bien Suave Y Rica,https://www.mercadolibre.com.ar/yerba-mate-organica-pampa-12-kg-sabor-bien-suave-y-rica/p/MLA28515506?pdp_filters=category:MLA409408#searchVariation=MLA28515506&position=14&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,4.410,TIENDA ANDALHUE,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1580915642,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Cosmico 500g,https://www.mercadolibre.com.ar/yerba-mate-cosmico-500g/p/MLA34166638?pdp_filters=category:MLA409408#searchVariation=MLA34166638&position=11&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,34.000,ASIQUEBUENOSRL,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1696268690,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Grapia Milenaria 1 Kg. Estacionamiento Natural,https://www.mercadolibre.com.ar/yerba-mate-grapia-milenaria-1-kg-estacionamiento-natural/p/MLA21361701?pdp_filters=category:MLA409408#searchVariation=MLA21361701&position=12&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,5.740,Alma Nativa,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1324550609,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Canarias Serena compuesta con hierbas 500g,https://www.mercadolibre.com.ar/yerba-mate-canarias-serena-compuesta-con-hierbas-500g/p/MLA20729891?pdp_filters=category:MLA409408#searchVariation=MLA20729891&position=8&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,4.345,OPEN25HS ,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1362363472,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cachamate Sabor Coco X 500 Gr Nueva Producto! Sin Tacc,https://www.mercadolibre.com.ar/yerba-cachamate-sabor-coco-x-500-gr-nueva-producto-sin-tacc/p/MLA21882465?pdp_filters=category:MLA409408#searchVariation=MLA21882465&position=24&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,2.499,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1360784256,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Orgánica Anna Park Pack 5 X 500 Grs - Premium ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=N6ODJQ82L8RN7oIwekQDv4rQKMgjlHpUqoRgqgBAnxLCnO%2FFuCIdv8UeWaoETBzTVGwNl9J1QejUhHwW9whTmpwRAQ%2BaWgCo9SWu0z1JMwCy5EuliIRH5W7rpRb%2B0QBdTrqxnVFlg5nzPFv6gnQ5Nt%2FBZu13CeDxjN%2FmEm6pwPDqOWgqOssQ%2BlQdDewh6%2BFQkqNCBvlbiedbFzAAv81bNHV0IXREPyC%2Bl%2Bh6TodyZOsB3QIHJvEj%2FWXnbdXbPyMV%2BtlFsVqL6xbkUslTSkfT0IcBt7cdFTz6K6KswY1uDuO9xC8Ba0mg%2FqGpxIU2fQYeLTbQD3nObm%2Bc6kwHIzMLe3bOD1F7trylJ4glPKIfQD1FmMqY7cfTEkSlEvvf6cT0tyMNercHI0TBKe4Fo7k4B3OBDaHLm9TswvcB8uBUzRo4iz8Ui3d%2FBgaX1sBwmjjqqcrA4GndO8tL9E9YVjY2jhVcCqrzmNMRAfmSZO%2BptSAZcy48s%2BW06wKeeehCNlSknYswrxxd3TeuuuqynYh8%2FOIH3rrkBcWx8YTGDYfd%2Faqg5EaocB2LcfL0UUX9nGTYvjaHrgECbh0cp9HqQsvWBXIt1lb0oCA7DV9hckHQTSmGJ0JYhWijyVDcr%2FXyxGMgZB1ZIISBv%2BLbyl2aIf5EwddDqV62%2F4Ip6dfslVJpBmgB9yQKYDLVe%2FlqdG1EfC5TsdLT3eSB6D%2FkDL2BZmHyGap0UWunuA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,35.433,SEMILLA VIVA,Nuevo  |  +5 vendidos,(+5 disponibles),Nuevo  |  +5 vendidos,No disponible,#1373819997,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Orgánica Certificada Pampa 6 X 500 Gr - Sin Tacc,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=d9ogpMHaJG%2FHesB21wzVozfLi6I4TdDtZp6CwFUxFTLmE9VEjatxuhQQ%2BOEnripdTWbE8wyfTQIoiAYqYKSzNkqJ38jw7YibkCPcs2DXuO0l1ooavHtTEWcJwhLw%2FKc1Xm5JNgaSPRWruAokJa85sC6WDYiWOeU%2F6oCA8Xjo8wF1y7NmY%2FTvK3oR1UdcVixpOGEusggHtMVXCfWs999d5Sj53ZP6hwq7r%2Fpy3EAhlBpJNjuMvrb7kN5bkKWScy2Wozc8R0sHwAZ6HrjRTU7jSpriYuIOiuR%2B%2BDYBdp27jGJOVwrlyhGgoksbr2kEhipUSizAa9DS3wR5DTQtdJyWlq7rMmJqCrKMeQWrSjADwCHg5%2FybhTWnhFfC3fTEgOt%2F2oCk5WYTEcFk%2B2s1fjFaKl5y3nLfHbgu9psHujWHsSOXStGcqLz9qxPmiLE3UaILRFUQcqOH6vnbd%2FH6lu8cxMS8%2Bi7PFz2c6zdbTyq4gr1MPPgH2oEIsWYfEAXSrhJjtsKzF2QXbZBAdr%2BwfoGWa8eIeVhn6xKO38Hucrb1hg3syW%2FyYtRjfgmxgypuGqULC6qswoUagaZ0t6KW1ey%2BxRkwhMtL72DHIY9Rg2thMkYfiWDr4uPBWQzkz8Q%2FDD544JjdpUk6mh9EAzU3%2F8Z8ra4AIk7AyV%2B3f%2BhXlrNiGMINx0g4EH3O%2BGFL4dj1oQUSVCQLHJmzsvZGND5Q4X4hcfQHj%2BCYHtxj&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,46.180,SEMILLA VIVA,Nuevo  |  +50 vendidos,No disponible,Nuevo  |  +50 vendidos,No disponible,#1156512180,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Tradicional Misionera Aguantadora 1 Kg. Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-tradicional-misionera-aguantadora-1-kg-sin-tacc/p/MLA20040361?pdp_filters=category:MLA409408#searchVariation=MLA20040361&position=25&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,4.384,TIENDA ANDALHUE,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1292461340,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Tradicional Sin Tacc Cruz De Malta X 1kg,https://www.mercadolibre.com.ar/yerba-tradicional-sin-tacc-cruz-de-malta-x-1kg/p/MLA20068481?pdp_filters=category:MLA409408#searchVariation=MLA20068481&position=21&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,3.879,TAP GROCERY,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280860321,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
