Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Yerba Mate Pajaro Azul Selección Especial 500gr,https://www.mercadolibre.com.ar/yerba-mate-pajaro-azul-seleccion-especial-500gr/p/MLA21239274?pdp_filters=category:MLA409408#searchVariation=MLA21239274&position=34&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,3.332,CAPSULANDIA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1371262885,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Campo Sur La Merced 500g C Palo Original Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-campo-sur-la-merced-500g-c-palo-original-sin-tacc/p/MLA19957014?pdp_filters=category:MLA409408#searchVariation=MLA19957014&position=28&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,3.017,TUPIXIE,Nuevo  |  +10mil vendidos,No disponible,Nuevo  |  +10mil vendidos,No disponible,#1373484993,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Grapia Milenaria 1/2 Kg. Estacionamiento Natural,https://www.mercadolibre.com.ar/yerba-mate-grapia-milenaria-12-kg-estacionamiento-natural/p/MLA21361702?pdp_filters=category:MLA409408#searchVariation=MLA21361702&position=36&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,2.760,Alma Nativa,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1324725367,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Arpillera La Obereña 1kg - Orgánica Certificada,https://www.mercadolibre.com.ar/yerba-mate-arpillera-la-oberena-1kg-organica-certificada/p/MLA24405124?pdp_filters=category:MLA409408#searchVariation=MLA24405124&position=41&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,8.740,TIENDA ANDALHUE,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1447362924,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Convencional Tucanguá 2kg suave y natural,https://www.mercadolibre.com.ar/yerba-mate-convencional-tucangua-2kg-suave-y-natural/p/MLA22766461?pdp_filters=category:MLA409408#searchVariation=MLA22766461&position=37&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,10.374,TIENDA ANDALHUE,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1376609595,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Kalena Barbacuá Bolsón 10kg ,https://www.mercadolibre.com.ar/yerba-mate-kalena-barbacua-bolson-10kg/p/MLA20008467?pdp_filters=category:MLA409408#searchVariation=MLA20008467&position=40&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,61.760,IMPORTADORANACCATO,Nuevo  |  +1000 vendidos,(5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1472002922,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Romance Con Palo X 1 Kg,https://www.mercadolibre.com.ar/yerba-mate-romance-con-palo-x-1-kg/p/MLA19957007?pdp_filters=category:MLA409408#searchVariation=MLA19957007&position=42&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,4.290,Mayorista Masivos,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1286077216,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Canarias 500g Sab. Tradicional Original Importada,https://www.mercadolibre.com.ar/yerba-mate-canarias-500g-sab-tradicional-original-importada/p/MLA19957013?pdp_filters=category:MLA409408#searchVariation=MLA19957013&position=43&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,3.681,PAPUS SERGIO,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1396885399,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba orembae 500g,https://www.mercadolibre.com.ar/yerba-orembae-500g/p/MLA22667960?pdp_filters=category:MLA409408#searchVariation=MLA22667960&position=44&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,2.380,Alma Nativa,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1403897362,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Tucanguá canchada tereré 1kg,https://www.mercadolibre.com.ar/yerba-mate-tucangua-canchada-terere-1kg/p/MLA21206630?pdp_filters=category:MLA409408#searchVariation=MLA21206630&position=45&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,4.100,VIDASANANUTRI,Nuevo  |  +500 vendidos,(3 disponibles),Nuevo  |  +500 vendidos,No disponible,#1395415879,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate orgánica Tucanguá 1kg sin TACC,https://www.mercadolibre.com.ar/yerba-mate-organica-tucangua-1kg-sin-tacc/p/MLA20040355?pdp_filters=category:MLA409408#searchVariation=MLA20040355&position=46&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,9.400,TIENDA ANDALHUE,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1278905101,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Buenas y Santas Mediana 1/2 Kg,https://www.mercadolibre.com.ar/yerba-mate-buenas-y-santas-mediana-12-kg/p/MLA24405125?pdp_filters=category:MLA409408#searchVariation=MLA24405125&position=47&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,2.549,TAP GROCERY,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1538589888,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Organica Porongo,https://www.mercadolibre.com.ar/yerba-mate-organica-porongo/p/MLA19991738?pdp_filters=category:MLA409408#searchVariation=MLA19991738&position=48&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,4.238,CAPSULANDIA,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1280493067,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Sol Y Lluvia X 2 Kg. - Floresta,https://www.mercadolibre.com.ar/yerba-mate-sol-y-lluvia-x-2-kg-floresta/p/MLA20008484?pdp_filters=category:MLA409408#searchVariation=MLA20008484&position=49&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,9.900,ALMATEOK,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1401130259,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Playadito clasica pon palo 250g sin tacc,https://www.mercadolibre.com.ar/yerba-mate-playadito-clasica-pon-palo-250g-sin-tacc/p/MLA26540594?pdp_filters=category:MLA409408#searchVariation=MLA26540594&position=50&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,1.499,CAPSULANDIA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1401707163,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Oferta! Yerba Mate Cbse Hierbas Serranas 1kg Sin Tacc,https://www.mercadolibre.com.ar/oferta-yerba-mate-cbse-hierbas-serranas-1kg-sin-tacc/p/MLA20109309?pdp_filters=category:MLA409408#searchVariation=MLA20109309&position=53&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,3.742,TUPIXIE,Nuevo  |  +5mil vendidos,(2 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1402052493,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Verdeflor Menta Y Jengibre Paquete X 500g,https://www.mercadolibre.com.ar/yerba-mate-verdeflor-menta-y-jengibre-paquete-x-500g/p/MLA25833897?pdp_filters=category:MLA409408#searchVariation=MLA25833897&position=51&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,1.749,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1470379028,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cbse Guarana 500 Gramos,https://www.mercadolibre.com.ar/yerba-cbse-guarana-500-gramos/p/MLA19973276?pdp_filters=category:MLA409408#searchVariation=MLA19973276&position=52&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,2.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280697611,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Tradicional Tucanguá 1kg. Suave Y Natural,https://articulo.mercadolibre.com.ar/MLA-710073058-yerba-mate-tradicional-tucangua-1kg-suave-y-natural-_JM#position=54&search_layout=stack&type=item&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,5.605,TIENDA ANDALHUE,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#710073058,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Isondú Secanza Barbacuá 5 X 500 Gr,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=62mzrlc6sC%2FCMA8QLBs0DZwPAGqlrMWLcGJ2%2Fh2x9PjNdm4sb4voZINIa1avPuiVY741gggV9VeLJN5l%2FRjkIklGQuzbxKs1YSZgc1v50xSoilV5PkDAWkMaXt9JrHW4Q1Dn96krWY%2FrqS5PJImoOM6ygX32ce2vcc8qHkN2Ke0fqqEgNtXl6feExZb4aUXCTMzUrwNBNYUZ%2FEG6PNP8djbC%2Bal1xF%2BBJgzQjuh9hgQhnGHA6ss4j1BPlHWfKWn%2BhRkkGIRRpGMq0ZWzGC8UYpasHMzf41dm%2FzC3ZvHj8bzyUF5HtIL0uSqthuxi%2B83om6OlFtasTRq0HxHiz3xu2vVcmz5taB%2FY5QYlG3CV6akLR0p1fNFKwoFpr0nR51G5qOpPzvj%2BJA%2B7LoRS3mR7baig0iH%2BYRxbteB0EQgn2Q9Y0VKfoxTIq%2Bq0oerHfoZM0fTS9uXWkGhQ0%2FpDrYg%2BtkzadOow1W0nem%2Fi8g1sUpA8MY%2BDxSORc4w8uV3Sl5Df2lXvwLl5ROYhhLvYAwIxX3vAjfoj8DIbbmrBSj5ggl7yHP3gks5hJu5mlOY7ybH9mJcTrBX3xjXnexT2fIAxXX5V3MgdER0g76bq78ix9jbrzDQ2PUEzO0mMgfr6PTsLD3XOJLsrq45dpCGPXq4gazOZMIA5uCq1CBqljz%2B7bMiSwzMKgGa3%2FyO%2Bu46%2BBzJPmtQB7QGoMgdL&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,26.047,SEMILLA VIVA,Nuevo  |  +50 vendidos,(+10 disponibles),Nuevo  |  +50 vendidos,No disponible,#911030546,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
 Yerba Mate Orgánica Roapipó Tradicional 6 X 500 Gr,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=DIIMBfeF5IShQvtojDIOfNqrvR9um4IC3sM7HyC%2BYLCQg4SXCvcCrOK%2FRZIXNutKASKFJai1bT%2BHitZKoxcfFLfjR8Ga8UrF7eeiB5kqOWpYQwkBAb2Eu2MYQbkS6FR4z9JYl4KWdDWFsKHXqN1bgzfQ8AGwPlqMrIB81kUJr%2FQpJ55M8fxjGPShK5mJFtijFb%2BFWMjXVXQ1ysj5NsyeXyBnU57sLz81Mr3XyE8bwkz3FBQOQjgSKVVii2u87K1Hzy0mqDsBpH3vL7EGZo9Kiyc3CH8lPbfgI7%2FpT52rWAnS%2BJDR4r%2B5JP5l%2Bg2uUhRp0w1br8WjoYVJCoiEHLzTE5X5hHY9kACM2SbC1tETvKaYP1ETDjOo6IFzeFJmTxSWflcF7yB0dOHqpdaVWlRUawewuh5Ku%2B8y4pvKo8EuLwzxXWQR%2FCuHVuVS5dY9qgkh67MBEKwV2xTWQQxPmcRAKdJ3tpfTi1cmKwfQ0xhL4fZseTE5DOHP2tgUaZ6pBG60zA8nMqAK%2BTfHa67bSr7WERjfSNItRoJFEZ7wkr4OnQqqxRS4wi91ykFj%2FFxtRK5jom7AFMJSMwPFHmY4thhRDbTyZrqRBnfzV4gza1n1QmKtlBoL2aoDj0hS%2BZvdaeOs2JmgoRufYJwhDyWNfkImyQqK1amvWgPTuEaU%2FnmJTJAj0yFVbLOowiFUhBLQdo4ZVIoLMyLZIUjroIQ8Ag%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,25.660,SEMILLA VIVA,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#910960464,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Pack De Yerba Mate Kalena Barbacua Sin Acidez 6 X 500 Gr,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=0EKtN5FkcALOdKE%2BI35avdugk3p1XUrUWBNyIa7KYDX23YnhiDCYFA76Z%2BBBrUt0MgyJhaUbddfoj26gKCady%2BaiREjz6pP73QNWoQWSO1VpEHfd6V42eHKDd%2BTYoQRcIDa%2Fs1OgZvvNSkYPBPT%2FpxjyupLVHDEoV0liomKOhO7DcjtbfDgHxLzJfbWVv8waW%2Fle%2FNCnqiYVGhnYYxk%2BPuBvWGzKlrxO%2BmuBwQWyrfjwNaMrsOPCqaQzQPrUC343CbOkWWy%2BTWMq%2Bd0uw8pt%2Fft%2FWXeqK5jrLsK8JqxMx9hXHtM32z9YwP9kQVg59AKww2kygu2m5B2WIhANAorA4xprdi%2BMjtxBd7iPCMdyR3WXJIDMQlEFMDaUHpkPVpVUiGB55HxqN4e5fpuOsj%2BrTDuOt1pFQyOTfGt%2FJmhIjsEMcUPCS87fPZwEzx6xWUfUA%2BaTmfso0a67IO34%2FXeGo6kcRmxvbQIHBSjj6%2F%2FDuuRowecwCEW2eI2CCLPhfMuvavcg%2FQ37HDJN9ClqCvfFVsc85Qu4i2%2BbbMrM7pJ2SHSlRjTJuRdK7OGRycZA47NWs3caDxSRlHzyTWeBKNZrrGvalXxUWVYnT5ma4NC2aGja70WQNi7rrO0v3BT3F0EQJ66p7%2FHAtH7OvjkC%2FUg2ULm8Furs8bRpejam5cyDHzFoq9LtxLaxRnoQ7OYHAakSFj6LAA05x1zz63b%2FVZreqQH9sOgR&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,24.103,SEMILLA VIVA,Nuevo  |  +50 vendidos,(+10 disponibles),Nuevo  |  +50 vendidos,No disponible,#1153301427,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Tradicional Tucanguá 1kg. Suave Y Natural,https://articulo.mercadolibre.com.ar/MLA-710073058-yerba-mate-tradicional-tucangua-1kg-suave-y-natural-_JM#position=53&search_layout=stack&type=item&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,5.605,TIENDA ANDALHUE,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#710073058,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Con Peperina Verdeflor Paquete 500gr Chau Acidez,https://www.mercadolibre.com.ar/yerba-mate-con-peperina-verdeflor-paquete-500gr-chau-acidez/p/MLA23004305?pdp_filters=category:MLA409408#searchVariation=MLA23004305&position=6&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,1.749,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1410577562,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cbse Jengibre 500 Gramos,https://www.mercadolibre.com.ar/yerba-cbse-jengibre-500-gramos/p/MLA19973278?pdp_filters=category:MLA409408#searchVariation=MLA19973278&position=8&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,2.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1281212257,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate orgánica Tucanguá 1kg sin TACC,https://www.mercadolibre.com.ar/yerba-mate-organica-tucangua-1kg-sin-tacc/p/MLA20040355?pdp_filters=category:MLA409408#searchVariation=MLA20040355&position=5&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,9.400,TIENDA ANDALHUE,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1278905101,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Ajedrez Canchada premium seleccion organica 10kg,https://www.mercadolibre.com.ar/yerba-mate-ajedrez-canchada-premium-seleccion-organica-10kg/p/MLA21706411?pdp_filters=category:MLA409408#searchVariation=MLA21706411&position=7&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,60.915,YERBAS CAMPECHANAS,Nuevo  |  +500 vendidos,(+5 disponibles),Nuevo  |  +500 vendidos,No disponible,#1361792983,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Tradicional Kalena. L.de Gluten. C/palo X500g X 12 Uni,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=AASXZ2QjoqMbjn4pa6TJCmztlCb8sY9t2ELfqu5wrBjCSXDYCC67NSGB6ST4TPdxIdIcNIGZXrIlEGyly2U5EXiLqPn2%2FL%2Fdgbm%2BsGFXKgbq%2FJfejtVVuOD6M55NThh965KwSTFuSqK8Veu8%2FTdDfCeaPd7sG2J3hr73oWVV%2FfjHrI0Pl%2FMjMkdJC8hi%2FVDEOr%2FOEGh0tqNPmy%2BQjRXu%2FEJn0SH8rfgCuCthyM5fRIGsTo76STSxgMQiGzYK0pFOY5oO0acrp8DdULd%2BfZsH9bHJDTt%2FUeqNBpXADh6XejRYXKwYog%2FWLwwgrbA%2F2h76nmvtnouiHPbhJfC9O4jM%2FJlRwqAGqcsHDO45WKAFD4VqrDULCYKV66PCzJF1K62i2VpjoLDLDvcTbvMNSJyGNAe2IIYFNGjuAQB7uj8lhDMtMCwzmgURY3ImEphZi3cOUBWOLxW%2BzfUl0e0QJbEYN8uzX7b9Qj4cosZ9%2F9dDulFqmUa6cfpxicSE5GSfQpcezMDORReHhIJnrPkpaoxa87uFx9FmNNq7E4ex%2F23noKAXmf0UiSGUcvEFtQYdLO8GaCcuZeBZsHvItZPS5Ar7dsFyUi1JpCAbx7XrcQH1MyBCQhfNgGFdIjTkpXXP5IMRYSixeY3XQtwSdpYwdNoB5hv9jpNUKGtXk4D3TJqkMKdEv%2BGevfN4fVyBzM5Y%2BSSqnKUl1sM8W5jmzrT6jJLTOLxmOYQH&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,47.000,NUTRIVIRTUAL,Nuevo  |  +100 vendidos,(2 disponibles),Nuevo  |  +100 vendidos,No disponible,#1109485118,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Repuesto Yerba Orgánica Fronteras 500gr. Poleo Y Cardamomo,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=WlEegtXSPbngB3hnVrRY94Hr1zKrAx1%2B1Tv%2FCZHM6qxQmRAMtQOaYWvVZ3r4f4t1TrUr8dXT1Dkr86XJ%2B96MLVNzlFzDB6Ewd6kHFlGWM16MehlJZ1N93omUNZYN6k3Cdnhx4TSjbie3O8p%2Fj%2BCHW%2BZczmcPv2Df%2BMeCE1fpes74l6aPzERgdjzxzyXfjk9iXWkwVkyQIa89vBA%2F67AEsDWAf09KoOAVqO50l817hiGbxC9fPqMJEIIf2K%2BrhzKrKBh%2FD4C0xkJNiPRBPfHMGOSTSyo2zVuaqmXeCTe7AaxI4khS0MntS2BGS4ggwzP8i4IcU1jXyD46l5QiJx%2BDQv1FSXdAu2FdTTRCmUb8uOLrjiUoIicqoy7mk51K7xALAIbK6U8MgSUJdakB3X%2Bosr7BMqmGBZQNHckHX4Ati9p5ubJizIe6Pq4hZw%2BuXpMlqP4hs9bN%2FDAsT6cAXs%2F5LSTuolgEBI1OwxH6VEQafPbn6fau1W2BorWx%2FCptBSaMh9C6mvFqjG9xRA%2FJ48b71Oij5RvTwj0S0%2FqwpnTAgCgZZnDWLrS%2BSjbRIcyYOEP2Fw0uaqP%2FP04TxkOLhSle%2B3MvL%2FPf0gsybl9hv%2By%2FwQ9Cew%2BjL156TVnzKNBADX5qdtJPI9X5Pl%2BAugalijGSWwAIHH%2Fkl028iCMwWu3zXGQpcw0greb0PqDlcR37ynnUDYn6wbn8%2BaSilXIQZiujmREjQ8NJQKXb&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,8.120,PIRAMIDEHOME,Nuevo  |  +25 vendidos,(+5 disponibles),Nuevo  |  +25 vendidos,No disponible,#1401649463,2024-04-09 13:38:59,nan,nan,nan,nan
Yerba Cbse Miel 500 Grs,https://www.mercadolibre.com.ar/yerba-cbse-miel-500-grs/p/MLA21239216?pdp_filters=category:MLA409408#searchVariation=MLA21239216&position=12&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,2.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1353453401,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Organica Roapipo - 6 Paquetes De 500 Grs S,https://www.mercadolibre.com.ar/yerba-mate-organica-roapipo-6-paquetes-de-500-grs-s/p/MLA28003773?pdp_filters=category:MLA409408#searchVariation=MLA28003773&position=11&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,22.147,DIETETICA CALLLAO,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1395731415,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cbse Naranja Mas 500 Grs,https://www.mercadolibre.com.ar/yerba-cbse-naranja-mas-500-grs/p/MLA21239223?pdp_filters=category:MLA409408#searchVariation=MLA21239223&position=4&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,2.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1381165205,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Taragui 4flex 1kg,https://www.mercadolibre.com.ar/yerba-mate-taragui-4flex-1kg/p/MLA20008325?pdp_filters=category:MLA409408#searchVariation=MLA20008325&position=34&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,4.900,OfiShop,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1382497053,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Boldo Verdeflor Pack X 500g,https://www.mercadolibre.com.ar/yerba-mate-boldo-verdeflor-pack-x-500g/p/MLA20008631?pdp_filters=category:MLA409408#searchVariation=MLA20008631&position=30&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,1.749,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1278860714,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate orgánica Pampa 500g pack de 10 unidades,https://www.mercadolibre.com.ar/yerba-mate-organica-pampa-500g-pack-de-10-unidades/p/MLA20008372?pdp_filters=category:MLA409408#searchVariation=MLA20008372&position=32&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,47.493,DIETETICA CALLLAO,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1344822318,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Sol Y Lluvia X 2 Kg. - Floresta,https://www.mercadolibre.com.ar/yerba-mate-sol-y-lluvia-x-2-kg-floresta/p/MLA20008484?pdp_filters=category:MLA409408#searchVariation=MLA20008484&position=22&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,9.900,ALMATEOK,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1401130259,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Amanda Seleccion Especial Con Palo 1kg Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-amanda-seleccion-especial-con-palo-1kg-sin-tacc/p/MLA19956981?pdp_filters=category:MLA409408#searchVariation=MLA19956981&position=25&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,4.599,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280709942,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Cbse Yerba Mate Compuesta Sabor Pomelo Con Palo 500 Gr,https://www.mercadolibre.com.ar/cbse-yerba-mate-compuesta-sabor-pomelo-con-palo-500-gr/p/MLA20054981?pdp_filters=category:MLA409408#searchVariation=MLA20054981&position=33&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,2.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1279488027,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
