Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Fideos Spaghetti libre de gluten sin tacc Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-spaghetti-libre-de-gluten-sin-tacc-matarazzo-500g/p/MLA20949980?pdp_filters=category:MLA1423#searchVariation=MLA20949980&position=9&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,2.999,CAPSULANDIA,Nuevo  |  +10mil vendidos,(275 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1586695680,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Terrabusi Tallarín N°7 500g,https://www.mercadolibre.com.ar/fideos-terrabusi-tallarin-n7-500g/p/MLA28611379?pdp_filters=category:MLA1423#searchVariation=MLA28611379&position=16&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,1.021,ECOMODICO,Nuevo  |  +1000 vendidos,(341 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1397915679,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Spaghetti integral Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-spaghetti-integral-matarazzo-500g/p/MLA21089520?pdp_filters=category:MLA1423#searchVariation=MLA21089520&position=5&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,1.477,TAP GROCERY,Nuevo  |  +10mil vendidos,(133 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1309783597,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Matarazzo 3 Vegetales Penne Rigate N°45 500g,https://www.mercadolibre.com.ar/fideos-matarazzo-3-vegetales-penne-rigate-n45-500g/p/MLA28611321?pdp_filters=category:MLA1423#searchVariation=MLA28611321&position=12&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,1.385,TAP GROCERY,Nuevo  |  +1000 vendidos,(714 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1398081983,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Giacomo Capelettini Tridicci Pasta Semola Fortificada 500 Gr,https://www.mercadolibre.com.ar/giacomo-capelettini-tridicci-pasta-semola-fortificada-500-gr/p/MLA19957818?pdp_filters=category:MLA1423#searchVariation=MLA19957818&position=33&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,2.779,Ecomodico,Nuevo  |  +1000 vendidos,(8 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1408584208,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Terrabusi Spaghetti N°3 500g,https://www.mercadolibre.com.ar/fideos-terrabusi-spaghetti-n3-500g/p/MLA28544406?pdp_filters=category:MLA1423#searchVariation=MLA28544406&position=14&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,1.021,ECOMODICO,Nuevo  |  +1000 vendidos,(689 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1584459888,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos penne rigate Matarazzo sin tacc libre de gluten 500g,https://www.mercadolibre.com.ar/fideos-penne-rigate-matarazzo-sin-tacc-libre-de-gluten-500g/p/MLA20882391?pdp_filters=category:MLA1423#searchVariation=MLA20882391&position=20&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,2.094,TAP GROCERY,Nuevo  |  +5mil vendidos,(414 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1292498434,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Lucchetti Foratini 500g,https://www.mercadolibre.com.ar/fideos-lucchetti-foratini-500g/p/MLA28615789?pdp_filters=category:MLA1423#searchVariation=MLA28615789&position=18&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,1.296,ECOMODICO,Nuevo  |  +500 vendidos,(30 disponibles),Nuevo  |  +500 vendidos,No disponible,#1590716406,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Favorita Codito Con Hierro X 500 Gr,https://www.mercadolibre.com.ar/fideos-favorita-codito-con-hierro-x-500-gr/p/MLA28571279?pdp_filters=category:MLA1423#searchVariation=MLA28571279&position=8&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,910,Ecomodico,Nuevo  |  +5mil vendidos,(41 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1584768492,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos  Tallarin 500 Gr Sta.isabel,https://www.mercadolibre.com.ar/fideos-tallarin-500-gr-staisabel/p/MLA20021901?pdp_filters=category:MLA1423#searchVariation=MLA20021901&position=32&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,910,ARTICULOS MOHE,Nuevo  |  +1000 vendidos,(50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1394648257,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Giacomo Capelettini Verdura 500 Grs,https://www.mercadolibre.com.ar/fideos-giacomo-capelettini-verdura-500-grs/p/MLA19977015?pdp_filters=category:MLA1423#searchVariation=MLA19977015&position=15&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,2.779,Ecomodico,Nuevo  |  +5mil vendidos,(260 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1432346870,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Tallarín Don Vicente 500g,https://www.mercadolibre.com.ar/fideos-tallarin-don-vicente-500g/p/MLA19964512?pdp_filters=category:MLA1423#searchVariation=MLA19964512&position=17&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,2.622,TAP GROCERY,Nuevo  |  +10mil vendidos,(199 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1280840736,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Fusilli Con Kale Wakas X 250 Gr,https://www.mercadolibre.com.ar/fideos-fusilli-con-kale-wakas-x-250-gr/p/MLA20021519?pdp_filters=category:MLA1423#searchVariation=MLA20021519&position=19&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,2.453,GREENANDML,Nuevo  |  +1000 vendidos,(7 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1361063752,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos fusillis de garbanzos Makarona sin tacc 250gr,https://www.mercadolibre.com.ar/fideos-fusillis-de-garbanzos-makarona-sin-tacc-250gr/p/MLA21254483?pdp_filters=category:MLA1423#searchVariation=MLA21254483&position=11&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,1.400,TAP GROCERY,Nuevo  |  +500 vendidos,No disponible,Nuevo  |  +500 vendidos,No disponible,#1363233301,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Don Vicente Tallarín 500g,https://www.mercadolibre.com.ar/fideos-don-vicente-tallarin-500g/p/MLA28611364?pdp_filters=category:MLA1423#searchVariation=MLA28611364&position=28&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,2.047,Ecomodico,Nuevo  |  +500 vendidos,(163 disponibles),Nuevo  |  +500 vendidos,No disponible,#1397902779,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Mostachol Verizzia 500 G,https://articulo.mercadolibre.com.ar/MLA-1371175964-fideos-mostachol-verizzia-500-g-_JM#position=48&search_layout=stack&type=item&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,879,GRUPO ELNENE,Nuevo  |  +5mil vendidos,(1230 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1371175964,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos  Municion 500 Gr Molto,https://www.mercadolibre.com.ar/fideos-municion-500-gr-molto/p/MLA20022287?pdp_filters=category:MLA1423#searchVariation=MLA20022287&position=22&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,1.280,ARTICULOS MOHE,Nuevo  |  +100 vendidos,(19 disponibles),Nuevo  |  +100 vendidos,No disponible,#1670359978,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Tirabuzón 3 Vegetales Matarazzo X500 Gr,https://www.mercadolibre.com.ar/fideos-tirabuzon-3-vegetales-matarazzo-x500-gr/p/MLA19957824?pdp_filters=category:MLA1423#searchVariation=MLA19957824&position=27&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,1.477,TAP GROCERY,Nuevo  |  +10mil vendidos,(139 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1275705480,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Spaghetti Rina Matarazzo X 500g,https://www.mercadolibre.com.ar/fideos-spaghetti-rina-matarazzo-x-500g/p/MLA21621619?pdp_filters=category:MLA1423#searchVariation=MLA21621619&position=23&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,1.972,TAP GROCERY,Nuevo  |  +5mil vendidos,(97 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1356398731,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Penne Rigate De Harina Integral X500 Gr - Apto Vegano,https://www.mercadolibre.com.ar/fideos-penne-rigate-de-harina-integral-x500-gr-apto-vegano/p/MLA21254477?pdp_filters=category:MLA1423#searchVariation=MLA21254477&position=24&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,1.562,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(27 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1377232956,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Pasta Konjac Massa Fit Tira Ancha X 200 Gr,https://www.mercadolibre.com.ar/pasta-konjac-massa-fit-tira-ancha-x-200-gr/p/MLA19943687?pdp_filters=category:MLA1423#searchVariation=MLA19943687&position=25&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,4.590,FITNUTRITION5,Nuevo  |  +500 vendidos,(8 disponibles),Nuevo  |  +500 vendidos,No disponible,#1676372808,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Moños Don Vicente X 500 Gr,https://www.mercadolibre.com.ar/fideos-monos-don-vicente-x-500-gr/p/MLA21621621?pdp_filters=category:MLA1423#searchVariation=MLA21621621&position=26&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,2.369,TAP GROCERY,Nuevo  |  +1000 vendidos,(51 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1360847583,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Orzo Garofalo 500 Gr. Italia,https://www.mercadolibre.com.ar/fideos-orzo-garofalo-500-gr-italia/p/MLA19937162?pdp_filters=category:MLA1423#searchVariation=MLA19937162&position=41&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,8.040,HACHI_ARG,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1284304981,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Giacomo Capelettini Queso Y Jamon 500 Grs,https://www.mercadolibre.com.ar/fideos-giacomo-capelettini-queso-y-jamon-500-grs/p/MLA19994611?pdp_filters=category:MLA1423#searchVariation=MLA19994611&position=31&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,2.779,Ecomodico,Nuevo  |  +1000 vendidos,(97 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1287498996,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Spaghetti De Morrón Rina Matarazzo X 500 G,https://www.mercadolibre.com.ar/fideos-spaghetti-de-morron-rina-matarazzo-x-500-g/p/MLA19937152?pdp_filters=category:MLA1423#searchVariation=MLA19937152&position=30&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,1.972,TAP GROCERY,Nuevo  |  +1000 vendidos,(200 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1400473683,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Cup Noodles Nissin Pollo 69 Gr.,https://www.mercadolibre.com.ar/fideos-cup-noodles-nissin-pollo-69-gr/p/MLA20030990?pdp_filters=category:MLA1423#searchVariation=MLA20030990&position=21&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,2.815,MERCADOGOURMET.ONLINE,Nuevo  |  +5mil vendidos,(18 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1297858621,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Alimentos Instantáneos,Fideos Instantáneos
Fideos Tirabuzón integral Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-tirabuzon-integral-matarazzo-500g/p/MLA20021495?pdp_filters=category:MLA1423#searchVariation=MLA20021495&position=39&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,1.663,Ecomodico,Nuevo  |  +5mil vendidos,(133 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1397460699,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
