Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Quinoa Pop Inflado Yin Yang,https://articulo.mercadolibre.com.ar/MLA-1141531811-quinoa-pop-inflado-yin-yang-_JM#position=50&search_layout=stack&type=item&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,438,VÍVET MARKET,Nuevo  |  +5mil vendidos,(196 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1141531811,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Zucaritas Copos de maíz Azucarados Grande,https://www.mercadolibre.com.ar/zucaritas-copos-de-maiz-azucarados-grande/p/MLA20024005?pdp_filters=category:MLA1423#searchVariation=MLA20024005&position=6&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,2.940,AEH MALL,Nuevo  |  +1000 vendidos,(12 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1610186184,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletitas Hogareñas Mix Cereales Tripack Mediano,https://www.mercadolibre.com.ar/galletitas-hogarenas-mix-cereales-tripack-mediano/p/MLA20941266?pdp_filters=category:MLA1423#searchVariation=MLA20941266&position=12&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,2.473,TAP GROCERY,Nuevo  |  +1000 vendidos,(20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1297602625,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Galletitas,nan
Almohaditas Doble Salvado X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-doble-salvado-x-1kg-s-a-todo-el-pais/p/MLA27047200?pdp_filters=category:MLA1423#searchVariation=MLA27047200&position=8&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,4.343,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1388633865,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
 Muecas Caja X16 Barritas De Cereal Manzana Arandanos Y Nuez,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-de-cereal-manzana-arandanos-y-nuez/p/MLA19856558?pdp_filters=category:MLA1423#searchVariation=MLA19856558&position=14&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,9.000,OPEN25HS ML,Nuevo  |  +1000 vendidos,(317 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1416952262,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Trix Cereales - 230gr,https://www.mercadolibre.com.ar/trix-cereales-230gr/p/MLA22307875?pdp_filters=category:MLA1423#searchVariation=MLA22307875&position=13&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,4.594,ECOMODICO,Nuevo  |  +100 vendidos,(30 disponibles),Nuevo  |  +100 vendidos,No disponible,#1467701682,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Copos Naturales X 1kg - Envíos Todo El País,https://www.mercadolibre.com.ar/copos-naturales-x-1kg-envios-todo-el-pais/p/MLA25374441?pdp_filters=category:MLA1423#searchVariation=MLA25374441&position=15&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,3.238,TIENDA-EL PORTUGUÉS,Nuevo  |  +5mil vendidos,(69 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1380533991,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Muecas Caja X16 Barritas De Cereal Banana Y Dulce De Leche,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-de-cereal-banana-y-dulce-de-leche/p/MLA19846788?pdp_filters=category:MLA1423#searchVariation=MLA19846788&position=16&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,9.000,OPEN25HS ML,Nuevo  |  +1000 vendidos,(1177 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1417133754,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Barra Barrita Cereal Muecas Sabores Surtidos Caja X16u,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=8ShexNT1B4mhSGrhd3UmadhYnalusRQgh5zIIGWl0%2F8Lobkf0JZ%2FxHyaOiOseHzAz%2FWVjprS8YaWdW6NKtzD4TO3IoGQgHBXriMigdxUeNEiieathKtyLohSOCb5WBQwgT%2Bv%2BQ6xXqLTFTHRqv9TYT9REcp00V9F61snmx1wUiH59YoE5sBhNe0V%2BSzi%2Bscwd0V0aJ0Mk3G4xRJh4joFIYupyUhcG4BkxFJYfh4MRpqo5BFpfZ0G2vGi1JP5JC1cnYs8gNSW%2FiVGiOyGwbNytTaZToNb2p0A1dtT3oQrYornN3qaT1l1FYAmVbvcG8hGvMmVy4Z8zdRudngvViYYf6izcTBpp058CKdq0N06p9IDUGF%2FWab6Vi0m3nD8n5tJQ%2FVj4z8F2W%2FeqMrH5IdAlKVK02S0j8cKhvzAC699jooNOUMW4AnWQIj3yQgQScqz3242anyok4iOYiYZeU1QFMCc%2BUYhpWcODVg4DNC15db6LzY8teQJZpzba7KP2RX1lTsvQMgsW5Q6nqBjcArUd9%2F1zBkLfm%2BsVzO5IMimY6iq1EDiEnZi%2BBd0TPT%2BZhLPTos%2F1UkVF2jDzWMkCL3KygSN34EZDxl%2F5uMnhflozjVLRM5ugn0Gm8%2FRqrlaW3aNxaYZTCuZeTP696NA6NqvVEmjUt6tUikfiHoY2wSSr3Cc51Z7CDnLySpm0N4IsJBtQG53S7LZClXb9015d8mJCT7J&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,8.500,TIENDAMUECASOFICIAL,Nuevo  |  +100 vendidos,(618 disponibles),Nuevo  |  +100 vendidos,No disponible,#1557010242,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas De Chocolate X 500 Gr - Marca Lasfor,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=U5Id09cqTZpg2YjDT%2F3uQEYLGi4Pl9%2BKijODrwBZNJUevu%2F5pdebHH2CBbqgH3IQ302JcqE82UakjyynUhi3k9WHf29%2BRa2b5TXCzCNzYuj6%2Fm1Y06avQeaiHlmCqfWP5E1nnhh8DU1TQGlfDE1PPXV1REkWh833rmTC69R5JkoKBswUhXmuP5bl3U8RdkR%2FB35LREtjEWRf1tfmgedOPUJTPAlziRUKTD0PCGkr98xOUt6oLxCJ6i8xGa5Gcd2AVjd8dJNwolvB4Xc73QwE2INPTzl5%2B%2BaR0om5b3n5QtWU109V6WTq9LKX0cgoh%2FkeMfw0D%2F2s%2FL9mjtHfJvycG2Hl3Qa7EIQrTKWRWdeha8NWLeypuGUj07o2Jm9FaPFXeqXeMvP3LRPvFYgr7P1hjHDVCuVyEBXPsSHrI61CrluZYf8MJSZsqjsGrK%2Fo4t8Y9urzhed4yQgUjhss5bKceDOFuaX%2BpQ2tz61ntjydWJUimnisafj8PH2cXgLo1aPeeh4zm9YKvEd0WW0gCw0fmF%2F6On%2BWioyULV7Vb4XTSM4E%2FoT5jYO4Xw2%2FoVQSTlnMl0VnqCA6eznWuTd8aN6%2FnkXjKruoZm9phNDZtR8BChUwzVwprnmsvI7Xt8VPRGF6qGL1HWTlnJ07viljPZuUETMm9l9DvAbEfL7%2FTWsH%2FP1EiTajX7aSCNFLVnRnIA8ftC44kbGNAwfPDPfbWiO1ZNXN&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,3.581,POSITIVA.ARG,Nuevo  |  +5 vendidos,(3 disponibles),Nuevo  |  +5 vendidos,No disponible,#1169086655,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Arroz Yamaní Pop Yin Yang Orgánico Sin Tacc 80g,https://www.mercadolibre.com.ar/arroz-yamani-pop-yin-yang-organico-sin-tacc-80g/p/MLA26444834?pdp_filters=category:MLA1423#searchVariation=MLA26444834&position=17&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,400,VÍVET MARKET,Nuevo  |  +1000 vendidos,(13 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1384788535,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barritas Cereal Fort Clásica X 24 Un Compañia De Golosinas,https://www.mercadolibre.com.ar/barritas-cereal-fort-clasica-x-24-un-compania-de-golosinas/p/MLA24919868?pdp_filters=category:MLA1423#searchVariation=MLA24919868&position=18&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,7.499,OPEN25HS ML,Nuevo  |  +500 vendidos,(147 disponibles),Nuevo  |  +500 vendidos,No disponible,#1614693364,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Baston De Salvado X 1kg,https://www.mercadolibre.com.ar/baston-de-salvado-x-1kg/p/MLA26209010?pdp_filters=category:MLA1423#searchVariation=MLA26209010&position=21&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,4.025,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(28 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1383969061,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Chocolate Y Avena Integra 40 Gr Caja Por 10 Unidades,https://www.mercadolibre.com.ar/barra-chocolate-y-avena-integra-40-gr-caja-por-10-unidades/p/MLA21622805?pdp_filters=category:MLA1423#searchVariation=MLA21622805&position=22&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,5.937,PUNTONUEZ,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1337105341,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Cereal Baloncitos Chocolatados Granix Bolitas De Chocolate,https://www.mercadolibre.com.ar/cereal-baloncitos-chocolatados-granix-bolitas-de-chocolate/p/MLA19937180?pdp_filters=category:MLA1423#searchVariation=MLA19937180&position=23&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,1.098,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(4 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1442907848,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Cereal Fort Manzana Y Almendras Caja 24 Unidades.,https://www.mercadolibre.com.ar/barra-cereal-fort-manzana-y-almendras-caja-24-unidades/p/MLA20027366?pdp_filters=category:MLA1423#searchVariation=MLA20027366&position=24&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,7.499,OPEN25HS ML,Nuevo  |  +1000 vendidos,(63 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1392400838,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Aritos Con Miel X 1kg - A Todo El País,https://www.mercadolibre.com.ar/aritos-con-miel-x-1kg-a-todo-el-pais/p/MLA27047199?pdp_filters=category:MLA1423#searchVariation=MLA27047199&position=25&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,4.681,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1388598811,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
"Granola De Avena, Mani Y Pasas De Uva X 1kg",https://www.mercadolibre.com.ar/granola-de-avena-mani-y-pasas-de-uva-x-1kg/p/MLA26329388?pdp_filters=category:MLA1423#searchVariation=MLA26329388&position=27&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,4.145,TIENDA-EL PORTUGUÉS,Nuevo  |  +100 vendidos,(14 disponibles),Nuevo  |  +100 vendidos,No disponible,#1480252178,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Granola
Almohaditas Rellenas Frutillas X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-frutillas-x-1kg-s-a-todo-el-pais/p/MLA26444837?pdp_filters=category:MLA1423#searchVariation=MLA26444837&position=26&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,5.790,ALIMENTOSFUENTES,Nuevo  |  +5mil vendidos,(87 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1602992878,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
