Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Cafe Martinez molido tostado Brasil 500g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-brasil-500g-sin-azucar-agregada/p/MLA20721602?pdp_filters=category:MLA409407#searchVariation=MLA20721602&position=2&search_layout=stack&type=product&tracking_id=63510525-da47-4288-b95b-e05189fcf62c,14.500,Cafe Martinez,Nuevo  |  +1000 vendidos,(686 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1308505910,2024-02-26 10:56:27,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
La Virginia Cafe Tostado Grano Puro Aroma X 500 Gr,https://www.mercadolibre.com.ar/la-virginia-cafe-tostado-grano-puro-aroma-x-500-gr/p/MLA19944508?pdp_filters=category:MLA409407#searchVariation=MLA19944508&position=3&search_layout=stack&type=product&tracking_id=63510525-da47-4288-b95b-e05189fcf62c,12.560,Ecomodico,Nuevo  |  +10mil vendidos,(379 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1286549775,2024-02-26 10:56:27,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Tostado Molido Espresso La Virginia 500 G Sin Tacc,https://www.mercadolibre.com.ar/cafe-tostado-molido-espresso-la-virginia-500-g-sin-tacc/p/MLA20732424?pdp_filters=category:MLA409407#searchVariation=MLA20732424&position=4&search_layout=stack&type=product&tracking_id=63510525-da47-4288-b95b-e05189fcf62c,14.149,Ecomodico,Nuevo  |  +5mil vendidos,(89 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1295491709,2024-02-26 10:56:27,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Instantáneo Nescafé® Gold - Frasco X100gr,https://www.mercadolibre.com.ar/cafe-instantaneo-nescafe-gold-frasco-x100gr/p/MLA28567354?pdp_filters=category:MLA409407#searchVariation=MLA28567354&position=5&search_layout=stack&type=product&tracking_id=63510525-da47-4288-b95b-e05189fcf62c,11.275,Nestlé,Nuevo  |  +5mil vendidos,(2002 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1397928537,2024-02-26 10:56:27,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Café instantáneo suave Nescafé Dolca frasco 170 g,https://www.mercadolibre.com.ar/cafe-instantaneo-suave-nescafe-dolca-frasco-170g/p/MLA16112976?pdp_filters=category:MLA409407#searchVariation=MLA16112976&position=6&search_layout=stack&type=product&tracking_id=63510525-da47-4288-b95b-e05189fcf62c,4.499,CPT Oficina,Nuevo  |  +1000 vendidos,(56 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1640737058,2024-02-26 10:56:27,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Molido Segafredo Espresso Casa 250g Tostado Sin Azucar,https://www.mercadolibre.com.ar/cafe-molido-segafredo-espresso-casa-250g-tostado-sin-azucar/p/MLA19979543?pdp_filters=category:MLA409407#searchVariation=MLA19979543&position=7&search_layout=stack&type=product&tracking_id=63510525-da47-4288-b95b-e05189fcf62c,6.290,SEGAFREDOZANETTIARGENTINA,Nuevo  |  +10mil vendidos,(361 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1449833286,2024-02-26 10:56:27,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Martinez molido tostado tipo italiano fuerte 500g	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-500g/p/MLA20026019?pdp_filters=category:MLA409407#searchVariation=MLA20026019&position=8&search_layout=stack&type=product&tracking_id=63510525-da47-4288-b95b-e05189fcf62c,14.450,Cafe Martinez,Nuevo  |  +1000 vendidos,(415 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293219917,2024-02-26 10:56:27,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Molido Tostado Suave 1933 Sin Azúcar 260gr,https://www.mercadolibre.com.ar/cafe-molido-tostado-suave-1933-sin-azucar-260gr/p/MLA23792131?pdp_filters=category:MLA409407#searchVariation=MLA23792131&position=9&search_layout=stack&type=product&tracking_id=63510525-da47-4288-b95b-e05189fcf62c,6.600,Cafe Martinez,Nuevo  |  +1000 vendidos,(628 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1430453106,2024-02-26 10:56:27,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
"Nescafé Dolca X Caja, Nestlé Profesional, Café Torrado",https://www.mercadolibre.com.ar/nescafe-dolca-x-caja-nestle-profesional-cafe-torrado/p/MLA26982344?pdp_filters=category:MLA409407#searchVariation=MLA26982344&position=10&search_layout=stack&type=product&tracking_id=63510525-da47-4288-b95b-e05189fcf62c,35.718,Nestlé Professional,Nuevo  |  +1000 vendidos,(14 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1388035287,2024-02-26 10:56:27,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Super Cabrales Tostado Molido 500g,https://articulo.mercadolibre.com.ar/MLA-1625147448-cafe-super-cabrales-tostado-molido-500g-_JM#position=45&search_layout=stack&type=item&tracking_id=63510525-da47-4288-b95b-e05189fcf62c,11.990,AVFX1,Nuevo  |  +1000 vendidos,(558 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1625147448,2024-02-26 10:56:27,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Martinez Molido Tostado Tipo Italiano Fuerte 250g,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-250g/p/MLA21766728?pdp_filters=category:MLA409407#searchVariation=MLA21766728&position=11&search_layout=stack&type=product&tracking_id=63510525-da47-4288-b95b-e05189fcf62c,7.790,Cafe Martinez,Nuevo  |  +1000 vendidos,(228 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1406139580,2024-02-26 10:56:27,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido Intermezzo X 250 G Segafredo Zanetti,https://www.mercadolibre.com.ar/cafe-molido-intermezzo-x-250-g-segafredo-zanetti/p/MLA20025887?pdp_filters=category:MLA409407#searchVariation=MLA20025887&position=12&search_layout=stack&type=product&tracking_id=63510525-da47-4288-b95b-e05189fcf62c,6.290,SEGAFREDOZANETTIARGENTINA,Nuevo  |  +10mil vendidos,(29 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1373157568,2024-02-26 10:56:27,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
! Cafe Instantaneo Segafredo Preferito 100g Sin Azucar,https://www.mercadolibre.com.ar/-cafe-instantaneo-segafredo-preferito-100g-sin-azucar/p/MLA20713491?pdp_filters=category:MLA409407#searchVariation=MLA20713491&position=13&search_layout=stack&type=product&tracking_id=63510525-da47-4288-b95b-e05189fcf62c,8.290,SEGAFREDOZANETTIARGENTINA,Nuevo  |  +1000 vendidos,(48 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1365581849,2024-02-26 10:56:27,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
