Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Gomitas conitos Arcor Mogul Yogus 500g,https://www.mercadolibre.com.ar/gomitas-conitos-arcor-mogul-yogus-500g/p/MLA20015617#searchVariation=MLA20015617&position=23&search_layout=stack&type=product&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,3.999,FRIDASCANDIES,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1412092655,2024-04-08 15:22:12,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas,nan
Yogurt Natural Griego Artesanal Sin Azucar (500 Gr),https://articulo.mercadolibre.com.ar/MLA-899178210-yogurt-natural-griego-artesanal-sin-azucar-500-gr-_JM#position=29&search_layout=stack&type=item&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,4.300,KIMCHI_BUENOSAIRES,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#899178210,2024-04-08 15:22:12,Alimentos y Bebidas,Frescos,Lácteos,Yogures,nan
Iniciador Fermento Probioticos Para Yogurt Yogur Now Pack X2,https://articulo.mercadolibre.com.ar/MLA-1570104478-iniciador-fermento-probioticos-para-yogurt-yogur-now-pack-x2-_JM#position=30&search_layout=stack&type=item&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,5.900,TUTIENDASUSTENTABLE,Nuevo  |  +25 vendidos,(+50 disponibles),Nuevo  |  +25 vendidos,No disponible,#1570104478,2024-04-08 15:22:12,Salud y Equipamiento Médico,Suplementos Alimenticios,nan,nan,nan
Smart-Tek YM800 220V Plateado 50Hz,https://www.mercadolibre.com.ar/smart-tek-ym800-220v-plateado-50hz/p/MLA27819168#searchVariation=MLA27819168&position=1&search_layout=stack&type=product&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,46.749,TECNO STORES,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1415816397,2024-04-08 15:22:12,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Preparación de Alimentos,Yogurteras
Yogurt Griego Con Probióticos Naturales 910ml Sin Azúcares ,https://articulo.mercadolibre.com.ar/MLA-1380642299-yogurt-griego-con-probioticos-naturales-910ml-sin-azucares-_JM#position=31&search_layout=stack&type=item&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,7.077,PANEALEJANDRA,Nuevo  |  +5 vendidos,(+50 disponibles),Nuevo  |  +5 vendidos,No disponible,#1380642299,2024-04-08 15:22:12,Alimentos y Bebidas,Frescos,Lácteos,Yogures,nan
Barrita Flow Yogurt Light Georgalos 20 X24g,https://www.mercadolibre.com.ar/barrita-flow-yogurt-light-georgalos-20-x24g/p/MLA21526623#searchVariation=MLA21526623&position=21&search_layout=stack&type=product&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,9.846,MEJORPRECIO.COM.AR,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1368608807,2024-04-08 15:22:12,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal,nan
Probiotico Fermento Para Preparar Yogur Y Queso Untable ,https://articulo.mercadolibre.com.ar/MLA-881773249-probiotico-fermento-para-preparar-yogur-y-queso-untable-_JM#position=32&search_layout=stack&type=item&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,9.350,ROAL4512404,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#881773249,2024-04-08 15:22:12,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Preparación de Alimentos,Yogurteras
Tableta chocolate Cadbury yoghurt frutilla 162g,https://www.mercadolibre.com.ar/tableta-chocolate-cadbury-yoghurt-frutilla-162g/p/MLA20719509#searchVariation=MLA20719509&position=24&search_layout=stack&type=product&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,4.452,TUPIXIE,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1350326258,2024-04-08 15:22:12,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Chocolates,nan
Yogurt Griego 1 Litro Natural Artesanal Probiótico Sin Azcr,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=yvyxbadNy02MGAHh2velH27OSED4hw4QXG%2BrbKEPCIz9yclY%2FxH3I3HXDEZ8lSppXCr6L7xEgfO3%2FvUKNVcAe0mIA58klapzbktrwr0ajCFbmCKPhjT%2F07d28BXG4bQux52ldrnhNd6ELLAom8vsw5V0oe2d59%2BNV6Zn4dRcdMSl4Exmts7jhEgOOpNkmlRaQCGYkAUmkKR9E6vlVXjusN7e4b%2BkN6kI3ML7D%2BmTaFCAYsYKA4Cw9tTmSSB4rDowklzxm8yBfyvfgHL4qNDuJwF%2BvZ8qZoo4dh00WAZDI2i5J2Da6oq14oa16V4lyzWLJ2Ji3DCGY16WrilZ9TCGTtpCqTIYOKYUjeSpw5VtGl8A0734PLciTgwvURWlh6t7iXCo8ZMQAksWzWQB9kQ5u8rSyO%2FTF8kUFJBAvaBclhxUq6bosoznenBHoxWH%2B%2Fy7rB%2FJfptSTO6EbJXpCAqc%2B%2Bc72Lph7JRwQpcYkjFPBPSwnWD8Q7%2FYQheoH6JnA1uQFUKviMFcbORVJwBIQmimGcR477BGKmllw8p3rhAgbyLy2fsGLHdAge28SfPaX0lnCJvzeQtiyk6b3JsyTzMx5wzreYp31KRZQi7gr0sXrbtxNN4zadf0SAfQu6%2FqDdoNCRU%2BEiuKxdLPeDKV799fJXqs8FsKDsz7R6piM3RVTMOoR%2FA9iQYrI3odefakeeMU1Yq7dv7Wj9lZ%2Bp17FPexMDpc11dkSw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,7.790,SALVIAMORADA ALMACENATURAL,Nuevo  |  +50 vendidos,(+50 disponibles),Nuevo  |  +50 vendidos,No disponible,#1144406033,2024-04-08 15:22:12,Alimentos y Bebidas,Frescos,Lácteos,Yogures,nan
Yogurt Griego 1 Litro Natural Probiótico Sin Azúcarez,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=BjJYkb8SIOYsnhqOx8HOa7WRbMIorNwC1BxcZhCZfNFUo4wNXt2pp3Hc2tpo6vrLgZxeN1V8kzRyWKWW2TuCpWGec%2BeNizhjx%2Fpc%2BNxiTeRhgYjqlFO3bHCYtDJFDMgbQPaZmc%2Fj3HUDu6eoLbpUW%2BktsapWD43Ej2bX2Yaj%2F8c1XedAUQdfRJLfaLfZcZ3UHx2SHNoLNMhkX6AG%2BRRzlF5DhixoxcUI%2BF1vzfh5Y5XWagbmIOBrEkX0vXB%2Fccy4ExH3ZkTOExmJxb%2FB7xcJz%2BNzgXKVdKhFDkTJgALBNqSGXMLsHthqWVu09rDsf2FDieox7koAhLsOtj0OLYkjMXhInkDhNLiSDH9jXg1shrnNAoK4%2BQl%2BSwjR5czD%2FZ4MFxOU5Fpw4WQfqBHSKQ7CNfxhgvE%2BX%2BsLiuwGN5EWC0CLnvxJtndFbfQ9ev8FDR5EVXxSbMEw9mGskecYTKl6I%2BFg4OA5k2psmbtwQcEako3UnfYOu8mSg43mrsiYKLatvl9rksw2im5BEJFONBJnJscXwPwDBvSRTHOyx9DabB18DBX2XSxXnxcSQccGzJqZVGWFbdIfyZCTYQ94OfzjCY4kbb3%2FHrOaV7tBOEOqpLQpdOyskxaYy9uW7We1oxnVI3PEzUGE1jml8dfhH1Z3LBJybLhttgz2YqNRNjf1MPlVB81CLPn3us6%2BBetVV9ZVE9NqHuUV%2Fhk1CQ3uU3EM&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,7.505,PANEALEJANDRA,Nuevo,(+50 disponibles),Nuevo,No disponible,#1410794067,2024-04-08 15:22:12,Alimentos y Bebidas,Frescos,Lácteos,Yogures,nan
Bolsa de chupetines Arcor Mr. Pops yogus ananá frutilla y blueberry 50 unidades,https://www.mercadolibre.com.ar/bolsa-de-chupetines-arcor-mr-pops-yogus-anana-frutilla-y-blueberry-50-unidades/p/MLA24560245#searchVariation=MLA24560245&position=25&search_layout=stack&type=product&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,3.935,TANDILSL,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1393315033,2024-04-08 15:22:12,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas,nan
Yogurt Griego 1 Litro Natural Artesanal Probiótico Sin Azucr,https://articulo.mercadolibre.com.ar/MLA-1144369413-yogurt-griego-1-litro-natural-artesanal-probiotico-sin-azucr-_JM#position=33&search_layout=stack&type=item&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,7.505,PANEALEJANDRA,Nuevo  |  +50 vendidos,(+50 disponibles),Nuevo  |  +50 vendidos,No disponible,#1144369413,2024-04-08 15:22:12,Alimentos y Bebidas,Frescos,Lácteos,Yogures,nan
 Iniciador De Yogur En Polvo Con Probióticos Yogur Now X 5un,https://articulo.mercadolibre.com.ar/MLA-1388740775-iniciador-de-yogur-en-polvo-con-probioticos-yogur-now-x-5un-_JM?searchVariation=178771105968#searchVariation=178771105968&position=34&search_layout=stack&type=item&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,13.400,TUDIETETICAONLINE2,Nuevo  |  +25 vendidos,(+20 disponibles),Nuevo  |  +25 vendidos,No disponible,#1388740775,2024-04-08 15:22:12,Salud y Equipamiento Médico,Suplementos Alimenticios,nan,nan,nan
Yogurtera Daewoo Ym6716 Fabrica Yogures 7 Vasos 200ml 15w Color Blanco,https://www.mercadolibre.com.ar/yogurtera-daewoo-ym6716-fabrica-yogures-7-vasos-200ml-15w-color-blanco/p/MLA27994721#searchVariation=MLA27994721&position=14&search_layout=stack&type=product&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,42.325,GIUDICE10Y50,Nuevo  |  +500 vendidos,No disponible,Nuevo  |  +500 vendidos,No disponible,#1396817411,2024-04-08 15:22:12,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Preparación de Alimentos,Yogurteras
Yogur En Polvo Con Probioticos 6 Cepas Yogur Now - 1 Sobre,https://www.mercadolibre.com.ar/yogur-en-polvo-con-probioticos-6-cepas-yogur-now-1-sobre/p/MLA19920545#searchVariation=MLA19920545&position=15&search_layout=stack&type=product&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,2.500,PROBIOTICAR,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1272835344,2024-04-08 15:22:12,Salud y Equipamiento Médico,Suplementos Alimenticios,nan,nan,nan
Yogurt Griego 2 Litros Natural Artesanal Probiótico Sin Azcr,https://articulo.mercadolibre.com.ar/MLA-1268153819-yogurt-griego-2-litros-natural-artesanal-probiotico-sin-azcr-_JM#position=35&search_layout=stack&type=item&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,14.250,SALVIAMORADA ALMACENATURAL,Nuevo  |  +25 vendidos,(+50 disponibles),Nuevo  |  +25 vendidos,No disponible,#1268153819,2024-04-08 15:22:12,Alimentos y Bebidas,Frescos,Lácteos,Yogures,nan
Mayorista Frascos De Vidrio Yogur Dahi C/ Tapa Nuevo X 10 Un,https://articulo.mercadolibre.com.ar/MLA-1162649603-mayorista-frascos-de-vidrio-yogur-dahi-c-tapa-nuevo-x-10-un-_JM#position=36&search_layout=stack&type=item&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,5.700,ALUAROMA,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1162649603,2024-04-08 15:22:12,"Hogar, Muebles y Jardín",Bazar y Cocina,Almacenamiento y Organización,Tápers,nan
Barra Cereal Billiken Yogur Frutilla - Caja X 16un,https://www.mercadolibre.com.ar/barra-cereal-billiken-yogur-frutilla-caja-x-16un/p/MLA29883116#searchVariation=MLA29883116&position=18&search_layout=stack&type=product&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,4.587,GOLOWEBSITESHOP,Nuevo  |  +50 vendidos,(4 disponibles),Nuevo  |  +50 vendidos,No disponible,#1730473196,2024-04-08 15:22:12,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal,nan
Yogurtera Maguina Para Hacer Yoghurt Color Blanca,https://www.mercadolibre.com.ar/yogurtera-maguina-para-hacer-yoghurt-color-blanca/p/MLA26311523#searchVariation=MLA26311523&position=3&search_layout=stack&type=product&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,45.800,A.JUGAR,Nuevo  |  +25 vendidos,(2 disponibles),Nuevo  |  +25 vendidos,No disponible,#1689318212,2024-04-08 15:22:12,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Preparación de Alimentos,Yogurteras
Caramelo Masticable Billiken Yogur Durazno X 360gr,https://www.mercadolibre.com.ar/caramelo-masticable-billiken-yogur-durazno-x-360gr/p/MLA20014024#searchVariation=MLA20014024&position=13&search_layout=stack&type=product&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,3.081,TIENDA-DE-FIESTA,Nuevo  |  +50 vendidos,(4 disponibles),Nuevo  |  +50 vendidos,No disponible,#1479012568,2024-04-08 15:22:12,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas,nan
Yogurt Griego Natural Sin Azúcar Pack 2 Und - 910ml C/u,https://articulo.mercadolibre.com.ar/MLA-1695082732-yogurt-griego-natural-sin-azucar-pack-2-und-910ml-cu-_JM#position=37&search_layout=stack&type=item&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,15.675,PANEALEJANDRA,Nuevo  |  1 vendido,(+10 disponibles),Nuevo  |  1 vendido,No disponible,#1695082732,2024-04-08 15:22:12,Alimentos y Bebidas,Frescos,Lácteos,Yogures,nan
Caramelos Masticables Arcor Yogus X 396gr Sin Tacc Frutales,https://www.mercadolibre.com.ar/caramelos-masticables-arcor-yogus-x-396gr-sin-tacc-frutales/p/MLA21917340#searchVariation=MLA21917340&position=7&search_layout=stack&type=product&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,4.020,GOLOSINAR,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1361693244,2024-04-08 15:22:12,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas,nan
Inulina + Yogurt 30grs Uso Cosmetico,https://articulo.mercadolibre.com.ar/MLA-1110277754-inulina-yogurt-30grs-uso-cosmetico-_JM#position=38&search_layout=stack&type=item&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,7.571,PARVATINATURAL,Nuevo  |  1 vendido,(+20 disponibles),Nuevo  |  1 vendido,No disponible,#1110277754,2024-04-08 15:22:12,Alimentos y Bebidas,Frescos,Lácteos,Yogures,nan
Yogurtera Daewoo Super Fácil Fabrica Yogures Caseros Ym6716,https://articulo.mercadolibre.com.ar/MLA-816727531-yogurtera-daewoo-super-facil-fabrica-yogures-caseros-ym6716-_JM#position=39&search_layout=stack&type=item&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,44.999,Daewoo,Nuevo  |  +100 vendidos,(4 disponibles),Nuevo  |  +100 vendidos,No disponible,#816727531,2024-04-08 15:22:12,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Preparación de Alimentos,Yogurteras
Mix De Frutas Secas Yogur Atuel Valley 40 Gr.,https://www.mercadolibre.com.ar/mix-de-frutas-secas-yogur-atuel-valley-40-gr/p/MLA21240113#searchVariation=MLA21240113&position=6&search_layout=stack&type=product&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,1.389,NEWGARDEN,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1610595698,2024-04-08 15:22:12,Alimentos y Bebidas,Almacén,Snacks,Frutas Secas,nan
