Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Nesquik Cereales - 400gr,https://www.mercadolibre.com.ar/nesquik-cereales-400gr/p/MLA24244810?pdp_filters=category:MLA1423#searchVariation=MLA24244810&position=12&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,8.557,CPT Oficina,Nuevo  |  +100 vendidos,(35 disponibles),Nuevo  |  +100 vendidos,No disponible,#1640801714,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Fibras Bastón De Salvado Lasfor Bolsa 200 Gr,https://www.mercadolibre.com.ar/fibras-baston-de-salvado-lasfor-bolsa-200-gr/p/MLA26312163?pdp_filters=category:MLA1423#searchVariation=MLA26312163&position=13&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,1.600,BLIP,Nuevo  |  +500 vendidos,(7 disponibles),Nuevo  |  +500 vendidos,No disponible,#1480312880,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Chocolate Y Avena Integra 40 Gr Caja Por 10 Unidades,https://www.mercadolibre.com.ar/barra-chocolate-y-avena-integra-40-gr-caja-por-10-unidades/p/MLA21622805?pdp_filters=category:MLA1423#searchVariation=MLA21622805&position=14&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,8.610,PUNTONUEZ,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1337105341,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Zucaritas Copos De Maíz Azucarados 240gr,https://www.mercadolibre.com.ar/zucaritas-copos-de-maiz-azucarados-240gr/p/MLA26913448?pdp_filters=category:MLA1423#searchVariation=MLA26913448&position=15&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,1.799,CAPSULANDIA,Nuevo  |  +100 vendidos,(42 disponibles),Nuevo  |  +100 vendidos,No disponible,#1389671073,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Ki Bar Barrita Proteica Vainilla Datiles Mani + 3 Claras 40g,https://www.mercadolibre.com.ar/ki-bar-barrita-proteica-vainilla-datiles-mani-3-claras-40g/p/MLA23024429?pdp_filters=category:MLA1423#searchVariation=MLA23024429&position=16&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,1.399,CAPSULANDIA,Nuevo  |  +1000 vendidos,(130 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1369823337,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Chocolate X 1kg - Envios A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-chocolate-x-1kg-envios-a-todo-el-pais/p/MLA25374443?pdp_filters=category:MLA1423#searchVariation=MLA25374443&position=17&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,5.790,ALIMENTOS FUENTES,Nuevo  |  +1000 vendidos,(58 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1602852430,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra de cereal Wik Taste sin TACC  sabor quinoa/chocolate 20 g de 20 u,https://www.mercadolibre.com.ar/barra-de-cereal-wik-taste-sin-tacc-sabor-quinoachocolate-20g-de-20u/p/MLA23221511?pdp_filters=category:MLA1423#searchVariation=MLA23221511&position=18&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,11.865,CAPSULANDIA,Nuevo  |  +1000 vendidos,(24 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1565616118,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Avellana X 500g - Envíos A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-500g-envios-a-todo-el-pais/p/MLA25809155?pdp_filters=category:MLA1423#searchVariation=MLA25809155&position=19&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,3.557,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(7 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1381906261,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletas Redondas C/sal De Arroz Integral Sin Tacc X1u 100g,https://www.mercadolibre.com.ar/galletas-redondas-csal-de-arroz-integral-sin-tacc-x1u-100g/p/MLA28863428?pdp_filters=category:MLA1423#searchVariation=MLA28863428&position=20&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,975,PURAVIDA STORE,Nuevo  |  +1000 vendidos,(142 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1600427732,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Galletitas,nan
Copos de Maíz Granix Tradicionales Corn Flakes,https://www.mercadolibre.com.ar/copos-de-maiz-granix-tradicionales-corn-flakes/p/MLA25374445?pdp_filters=category:MLA1423#searchVariation=MLA25374445&position=21&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,2.526,01MERCADO,Nuevo  |  +1000 vendidos,(9 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1462638992,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletitas Arrocitas Sin Sal Sesamo Lino 101g S/ Tacc Kosher,https://www.mercadolibre.com.ar/galletitas-arrocitas-sin-sal-sesamo-lino-101g-s-tacc-kosher/p/MLA19733961?pdp_filters=category:MLA1423#searchVariation=MLA19733961&position=22&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,1.099,CAPSULANDIA,Nuevo  |  +1000 vendidos,(36 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1241405163,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Galletitas,nan
Cereal Baloncitos Chocolatados Granix Bolitas De Chocolate,https://www.mercadolibre.com.ar/cereal-baloncitos-chocolatados-granix-bolitas-de-chocolate/p/MLA19937180?pdp_filters=category:MLA1423#searchVariation=MLA19937180&position=23&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,1.242,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(33 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1442907848,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
