Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Capelettini Lucchetti Lucchettinis Jamon Y Queso X 500g,https://www.mercadolibre.com.ar/capelettini-lucchetti-lucchettinis-jamon-y-queso-x-500g/p/MLA21459203?pdp_filters=category:MLA1403#searchVariation=MLA21459203&position=1&search_layout=stack&type=product&tracking_id=1c691f8d-bf9c-4bb6-bf0f-b3367cf03cdc,2.729,ECOMODICO,Nuevo  |  +10mil vendidos,(175 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1518066486,2024-01-30 12:14:37,Alimentos y Bebidas,Almacén,Pastas,nan
Doritos Queso X 129 Gr | Snacks Pepsico Picadas Cumpleaños,https://www.mercadolibre.com.ar/doritos-queso-x-129-gr-snacks-pepsico-picadas-cumpleanos/p/MLA28051233?pdp_filters=category:MLA1403#searchVariation=MLA28051233&position=6&search_layout=stack&type=product&tracking_id=1c691f8d-bf9c-4bb6-bf0f-b3367cf03cdc,2.287,PepsiCo,Nuevo  |  +500 vendidos,(360 disponibles),Nuevo  |  +500 vendidos,No disponible,#1561198532,2024-01-30 12:14:37,Alimentos y Bebidas,Almacén,Snacks,Snacks Salados
Doritos Snack Queso Bolsa De 200g,https://www.mercadolibre.com.ar/doritos-snack-queso-bolsa-de-200g/p/MLA24345244?pdp_filters=category:MLA1403#searchVariation=MLA24345244&position=13&search_layout=stack&type=product&tracking_id=1c691f8d-bf9c-4bb6-bf0f-b3367cf03cdc,3.485,PepsiCo,Nuevo  |  +500 vendidos,(518 disponibles),Nuevo  |  +500 vendidos,No disponible,#1557118252,2024-01-30 12:14:37,Alimentos y Bebidas,Almacén,Snacks,Snacks Salados
Queso Rallado X 1 Kg La Quesera,https://www.mercadolibre.com.ar/queso-rallado-x-1-kg-la-quesera/p/MLA24833708?pdp_filters=category:MLA1403#searchVariation=MLA24833708&position=19&search_layout=stack&type=product&tracking_id=1c691f8d-bf9c-4bb6-bf0f-b3367cf03cdc,12.751,DI7282532,Nuevo  |  +100 vendidos,(8 disponibles),Nuevo  |  +100 vendidos,No disponible,#1379232893,2024-01-30 12:14:37,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Queso Rallado La Quesera Bolsa x 3 Kg,https://www.mercadolibre.com.ar/queso-rallado-la-quesera-bolsa-x-3-kg/p/MLA24748688?pdp_filters=category:MLA1403#searchVariation=MLA24748688&position=14&search_layout=stack&type=product&tracking_id=1c691f8d-bf9c-4bb6-bf0f-b3367cf03cdc,34.000,DI7282532,Nuevo  |  +50 vendidos,(2 disponibles),Nuevo  |  +50 vendidos,No disponible,#1404377091,2024-01-30 12:14:37,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Queso Serenisima Reggianito Rallado Sobre 35grs Pack 10 Unid,https://www.mercadolibre.com.ar/queso-serenisima-reggianito-rallado-sobre-35grs-pack-10-unid/p/MLA26287234?pdp_filters=category:MLA1403#searchVariation=MLA26287234&position=17&search_layout=stack&type=product&tracking_id=1c691f8d-bf9c-4bb6-bf0f-b3367cf03cdc,10.446,Mayorista Masivos,Nuevo  |  +100 vendidos,No disponible,Nuevo  |  +100 vendidos,No disponible,#1479309264,2024-01-30 12:14:37,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Queso Rallado Reggianito La Serenisima 35gr Sin Tacc,https://articulo.mercadolibre.com.ar/MLA-1632849542-queso-rallado-reggianito-la-serenisima-35gr-sin-tacc-_JM#position=25&search_layout=stack&type=item&tracking_id=1c691f8d-bf9c-4bb6-bf0f-b3367cf03cdc,1.445,POSITIVA.ARG,Nuevo  |  +5 vendidos,(30 disponibles),Nuevo  |  +5 vendidos,No disponible,#1632849542,2024-01-30 12:14:37,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Queso Rallado Individual 100 Sobres De 8 G,https://www.mercadolibre.com.ar/queso-rallado-individual-100-sobres-de-8-g/p/MLA24833707?pdp_filters=category:MLA1403#searchVariation=MLA24833707&position=2&search_layout=stack&type=product&tracking_id=1c691f8d-bf9c-4bb6-bf0f-b3367cf03cdc,14.396,RBNFRESHFODSRLRBNFRESHFOD,Nuevo  |  +100 vendidos,(3 disponibles),Nuevo  |  +100 vendidos,No disponible,#1527144540,2024-01-30 12:14:37,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Grisines De Queso Grun 145g Integrales Orgánicos X 6u,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=luR1feE7vSJzocZUnGa0mAg0tr%2BZkMiy95EqO6%2BS1KeY5YJ0HQ13bl%2F1chgZq4sh6P%2FMPdyfSGjde1fbF95f1yDwRfdRe0Ij9TrqkyU9TEfndmAmTFeCHtCLAKSkZRbDilktbxAFbDrV4ivElks4v1Vx2Mt2UqGfI7vVPEzY8%2Fr8%2F9Ya%2Bg7W%2FIXUNXYEY09P3DazG3JP3WWwmKs6isDCqVpRB9nEZ8zxtflMmLDzazmw4HKX%2FScQAMl2am%2FASJDpN1ykdjPYVS6aGCwV1IaIM7%2Bm0XLXf0yBmEeYWYIYjo%2Ftjwmj3mYR5TrSn9dmYKFc2ysBjZS2CHZHFenoB5wyBGdH1pd%2FzSZIdVVliztmw18qCzCALsV9WQ4NQXIb7smQWe%2Bj7Kn%2FoG91hYERQDWyZ1ylI4Of1Dq41RshGD71Wzp69DpAnjP2YteGjmno%2F%2FmtS8Qw7OkUv%2BNHkyF5z3PrQTPBYOp99mBah984%2BoLo8bpvbBwlN1mlyptR1a6dmrmml8lJu6jrxyvC43e17gIYYvZBdyQEE8VZ4LyofxY7Ryc3OyoaU8%2BPEUL6kYEQY02mRpXeJQUVaExAqiZULGwz%2FKC9D33HQfR2GDmwsgbhH54ALjRrN%2FDIBQFImyIq53VFVCTVZbUWeLRSdyW7Ay3U6vXihn6KWhkd4emQAAisq7sZWP%2FncjYag%2FSmZvd0dkMydq67iy8pbORMmCYAXFRj&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,10.720,ATROCHEYMOCHE SHOP,Nuevo  |  +25 vendidos,(11 disponibles),Nuevo  |  +25 vendidos,No disponible,#1292838906,2024-01-30 12:14:37,Alimentos y Bebidas,Almacén,Panadería,Tostadas y Grisines
Aceitunas Verdes Rellenas C/ Queso Azul  X 330gr.,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Org1Iz5R%2FzUG7v4WuVgVmdolI%2FHyh5cSTjo2FT64fIygwwxfVkfKDtHsxcQMk8R9EjN7%2B7dG7tSHp5kNXQKdqboUCGCkorQDVB%2BGMF5TLl%2BTDsXHzUx8w9wy3YVL%2F9saby%2FjnY3GXZaDu%2FKwGzWitugJbeOu6BsprmielgG62%2BBFLoI8e4YqF14KiG7WumVYIy4wo3Z2lIfmFRBcDTsNYskeLieY0wZ%2FvEsxInQsVzSW87Z3abxAy4u1xSWCsg999VNvDlNhzprPBSkZmR6DmI8ROk6%2FrwS%2Bjek5vLPNjYzbr%2B%2FnPWXX0RzfGT%2FiUykNb17oj9VokmGAsOkJHAAuTSbcFcqknCnMVGnzfdjNC6Gleqto8sCWGo3eX1dKGrcMb9xZGXQPeQwuy6sIlvIougPBdAGSxLeVWT3oOMZqN4xGnvAv8iysk3YF29lDlG%2B7kazb436Fd1WCUVKPr3TVgg1syt%2FHansvqnG1qVi%2Bq9%2B4wgDOgWjAwwyS555pYQHnUxfickHuVfmj8ZUe%2FHELUsGl5OB6xAr3aHWXZp68A3QYC1%2FSEEti901IfEAVvEmSIy%2B%2Blk6Yg11fuMhKD8%2FhyaJuEboL146JS59EITe44heNDwFgpJDVCgu3x4uZQ3WVFJ3aJtNpqkd8Pg65c3tX9PBPjfDHx0j6jePaQfdvGricoAJfcv03vyqJyf6nR6QoFo6zjpP3FZk1&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,2.126,GO GREENMARKET,Nuevo  |  +5 vendidos,(6 disponibles),Nuevo  |  +5 vendidos,No disponible,#1140958646,2024-01-30 12:14:37,Alimentos y Bebidas,Almacén,Encurtidos y Conservas,nan
