Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Cafe Martinez molido tostado tipo italiano fuerte 500g	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-500g/p/MLA20026019?pdp_filters=category:MLA409407#searchVariation=MLA20026019&position=5&search_layout=stack&type=product&tracking_id=5ff7a000-47c5-4552-b55b-43d737f98f97,17.005,Cafe Martinez,Nuevo  |  +1000 vendidos,(409 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293219917,2024-03-26 15:25:18,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Instantáneo Nescafé® Gold - Frasco X100gr,https://www.mercadolibre.com.ar/cafe-instantaneo-nescafe-gold-frasco-x100gr/p/MLA28567354?pdp_filters=category:MLA409407#searchVariation=MLA28567354&position=8&search_layout=stack&type=product&tracking_id=5ff7a000-47c5-4552-b55b-43d737f98f97,12.796,Ecomodico,Nuevo  |  +5mil vendidos,(341 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1658654866,2024-03-26 15:25:18,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez molido tostado Brasil 500g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-brasil-500g-sin-azucar-agregada/p/MLA20721602?pdp_filters=category:MLA409407#searchVariation=MLA20721602&position=2&search_layout=stack&type=product&tracking_id=5ff7a000-47c5-4552-b55b-43d737f98f97,15.960,Cafe Martinez,Nuevo  |  +1000 vendidos,(674 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1308505910,2024-03-26 15:25:18,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Martinez molido tostado selecto 250g sin azúcar agregada	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-selecto-250g-sin-azucar-agregada/p/MLA20026219?pdp_filters=category:MLA409407#searchVariation=MLA20026219&position=4&search_layout=stack&type=product&tracking_id=5ff7a000-47c5-4552-b55b-43d737f98f97,10.450,Cafe Martinez,Nuevo  |  +1000 vendidos,(199 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282492756,2024-03-26 15:25:18,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe instantaneo sustentable Arlistán mediano,https://www.mercadolibre.com.ar/cafe-instantaneo-sustentable-arlistan-mediano/p/MLA19754817?pdp_filters=category:MLA409407#searchVariation=MLA19754817&position=7&search_layout=stack&type=product&tracking_id=5ff7a000-47c5-4552-b55b-43d737f98f97,4.799,TAP GROCERY,Nuevo  |  +5mil vendidos,(92 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1227952712,2024-03-26 15:25:18,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez tostado molido Brasil 250g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-tostado-molido-brasil-250g-sin-azucar-agregada/p/MLA20026339?pdp_filters=category:MLA409407#searchVariation=MLA20026339&position=13&search_layout=stack&type=product&tracking_id=5ff7a000-47c5-4552-b55b-43d737f98f97,8.521,Cafe Martinez,Nuevo  |  +1000 vendidos,(194 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282331780,2024-03-26 15:25:18,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Martinez molido tostado moka frutado 500g	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-moka-frutado-500g/p/MLA20025965?pdp_filters=category:MLA409407#searchVariation=MLA20025965&position=1&search_layout=stack&type=product&tracking_id=5ff7a000-47c5-4552-b55b-43d737f98f97,17.005,Cafe Martinez,Nuevo  |  +500 vendidos,(62 disponibles),Nuevo  |  +500 vendidos,No disponible,#1282492794,2024-03-26 15:25:18,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
La Virginia Cafe Tostado Grano Puro Aroma X 500 Gr,https://www.mercadolibre.com.ar/la-virginia-cafe-tostado-grano-puro-aroma-x-500-gr/p/MLA19944508?pdp_filters=category:MLA409407#searchVariation=MLA19944508&position=14&search_layout=stack&type=product&tracking_id=5ff7a000-47c5-4552-b55b-43d737f98f97,9.886,LUIS MICHELUCCI,Nuevo  |  +10mil vendidos,(405 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1399285005,2024-03-26 15:25:18,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Penguin Coffee De Especialidad Colombia Antioquia 1 Kg,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=LMO8eoSNvwcp4LUMjc%2BCsyTCdnN6mAGNyp0M7XPJ%2Fo3WvepdIX9Pr2P%2FuS69Xsi7uCB4k9e3OHoiDGpIB3GXIICHoF747GXuf0A%2BXdMeuHq5QEWDsX0i2D%2F8tr5%2FJiQ%2FP%2FcgLYyon9s%2B4Ed7yPWz6cMN%2B%2BwAN%2B4K6rS6tTMq5HvJ4nkHfuCJdWaYA0iAmheJcKkjStRQVjSebEJg3Vksa9IAc8htglnyJLV7D0%2FBJ%2FFSEjp%2Bk4TTa%2Fh87wwZZA4OuZSnLSncpGfdwSI%2BNfYDrMFRYbP%2BXxhF3E8s0wT%2B1Vj5a11cKx3dBiYGOXGH966w1YvZpFvVjTGEw%2B1J6qSs4GdR1Ov9G5DHTN5Rv2vcykIDPuy1xDzITc1eaSGOPy%2FVY6wJd%2Fxk60LYzTjuNjTw9CjJFSxU3FT4aYIOlHU1rNgvzZOQj4mJ9TsoxYUv7hEmZcKHnI0t7wMyWsU9RUIyGpt3UDjgLWSnUQ1pTAjC7vxjWD7QCdCUR%2BZ8AXLI2eLLjX%2FF67a%2BZdXToeVj9GZsz389z47EyppFAIWp%2Bzzd3Dw8LPGT%2BfvX8lawgKrS6cOG4AtY5hm6Oke1mp6z2KPkGJ9AKFQqF5fBgMX6b5GrId8n1u2c0KKu2VLBnW0CEWSbm5gb52wUih2e1ldB2OElg58HdaCYbYksbSKTGZGFwOG7uk%2Fl2wmXNxsAnk%2FnJ551WS%2Bu3uNVr2sMNJOoApMyrC2iL1FxOZM%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,40.000,PENGUINCOFFEE,Nuevo  |  +25 vendidos,(59 disponibles),Nuevo  |  +25 vendidos,No disponible,#1216350764,2024-03-26 15:25:18,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido Espresso Casa Segafredo Zanetti 250 G. Pack X8,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=LMB6vNM6UihooI6aCAetBN9wAm8kHRdedZGpgr%2FouV%2BVdVn5uaiRgCcepSSEDBNCKh8Gfqq5E35jnW5sNQFqatFIoZFM9R2%2B7cgX%2Fe1I11MSOxfXnPieker982qxOcvKlFmmuLuRcayQWpR7oAGpZI7%2B815TPyjCIovTAsKrcb%2BBKKwDAVczYhJw9KuoVu6UNTOjkBZQ8yuBGcwVV%2FTG%2Fw6nUIutWroveYW4oGTbNTPkXOxWFKYcxQ26Rp9bmMrJnRGJIaTWxIVN78Foh3oXZGVCRLVpAzHA2AeNBCUyuzMyKOSnX7mQdAvwbJLqm%2FEt5iICfM6qxP3ag%2FGeAEbkjW1G97jSPhDtRS6T79PQ%2B%2BvDqxlRXwN96h92FbpolT9XDrgO%2BBD9k14SUFejdtf1rzPEwelu4qAghZKXneiXcmWBQ0cH0zJ2s6A9MQEzEkjGuIJ6SBNSsAT%2FZkRh15gDiDalZHFgJ5RcH1LI2AHkekyzI30fexqxDwneM3yuKGlKKeOcA4xiyuHQU0jkvUpOwEj0MDvOxOpzpXaw6cPCDBG6liXYld%2F2pxo37aP%2FI2f3EsglOCtTJUYWjCAoj3cKf622lHLBcbOXRO3pEIcONG8H35F88iNOI5KbuEKjGje%2BqwbECAYRQ0SmlZqZZsO4OdSLOSCNjJ%2FhyaaZm9yqsxsan24y5Oh4CbdT%2FummFh82EhclDNUmi2Jwi4vAFmSvo%2BXcTCmdRQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,61.854,MERCADOGOURMET ONLINE,Nuevo  |  +500 vendidos,(97 disponibles),Nuevo  |  +500 vendidos,No disponible,#1291745543,2024-03-26 15:25:18,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
