Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Yerba Mate Pajaro Azul Selección Especial 500gr,https://www.mercadolibre.com.ar/yerba-mate-pajaro-azul-seleccion-especial-500gr/p/MLA21239274?pdp_filters=category:MLA409408#searchVariation=MLA21239274&position=39&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,1.999,CAPSULANDIA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1371262885,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Grapia Milenaria Pack 10 X 1 Kg,https://www.mercadolibre.com.ar/yerba-grapia-milenaria-pack-10-x-1-kg/p/MLA22667959?pdp_filters=category:MLA409408#searchVariation=MLA22667959&position=37&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,57.300,Alma Nativa,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1403945934,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Las Tunas yerba mate estacionamiento natural 1kg,https://www.mercadolibre.com.ar/las-tunas-yerba-mate-estacionamiento-natural-1kg/p/MLA20641267?pdp_filters=category:MLA409408#searchVariation=MLA20641267&position=43&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,4.720,TIENDA ANDALHUE,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1287641259,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cbse Guarana 500 Gramos,https://www.mercadolibre.com.ar/yerba-cbse-guarana-500-gramos/p/MLA19973276?pdp_filters=category:MLA409408#searchVariation=MLA19973276&position=53&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,2.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280697611,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate La Tranquera Selección Especial X 1 Kg ,https://www.mercadolibre.com.ar/yerba-mate-la-tranquera-seleccion-especial-x-1-kg/p/MLA20008346?pdp_filters=category:MLA409408#searchVariation=MLA20008346&position=38&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,3.999,CAPSULANDIA,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1428464932,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Kalena Barbacuá Bolsón 10kg ,https://www.mercadolibre.com.ar/yerba-mate-kalena-barbacua-bolson-10kg/p/MLA20008467?pdp_filters=category:MLA409408#searchVariation=MLA20008467&position=44&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,59.650,NATURAL MIA,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1390331604,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Cachamate Mezcla De Hierbas Con Palo Paquete 500g,https://www.mercadolibre.com.ar/yerba-mate-cachamate-mezcla-de-hierbas-con-palo-paquete-500g/p/MLA21288662?pdp_filters=category:MLA409408#searchVariation=MLA21288662&position=47&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,2.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1321600422,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate La Cumbrecita 1 Kg,https://www.mercadolibre.com.ar/yerba-mate-la-cumbrecita-1-kg/p/MLA20084877?pdp_filters=category:MLA409408#searchVariation=MLA20084877&position=42&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,3.399,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1371809965,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Canarias 500g Sab. Tradicional Original Importada,https://www.mercadolibre.com.ar/yerba-mate-canarias-500g-sab-tradicional-original-importada/p/MLA19957013?pdp_filters=category:MLA409408#searchVariation=MLA19957013&position=46&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,3.645,PAPUS SERGIO,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1396885399,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Sol Y Lluvia X 2 Kg. - Floresta,https://www.mercadolibre.com.ar/yerba-mate-sol-y-lluvia-x-2-kg-floresta/p/MLA20008484?pdp_filters=category:MLA409408#searchVariation=MLA20008484&position=52&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,9.900,ALMATEOK,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1401130259,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate orgánica Pampa 500g pack de 10 unidades,https://www.mercadolibre.com.ar/yerba-mate-organica-pampa-500g-pack-de-10-unidades/p/MLA20008372?pdp_filters=category:MLA409408#searchVariation=MLA20008372&position=51&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,47.490,DIETETICA CALLLAO,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1344822318,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Amanda Tradicional 250 Gramos,https://www.mercadolibre.com.ar/yerba-amanda-tradicional-250-gramos/p/MLA20008380?pdp_filters=category:MLA409408#searchVariation=MLA20008380&position=45&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,917,Mayorista Masivos,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1479413708,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Playadito clasica pon palo 250g sin tacc,https://www.mercadolibre.com.ar/yerba-mate-playadito-clasica-pon-palo-250g-sin-tacc/p/MLA26540594?pdp_filters=category:MLA409408#searchVariation=MLA26540594&position=49&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,1.499,CAPSULANDIA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1401707163,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Kalena 500 Gr -despalada- Libre De Gluten -promo X 10,https://www.mercadolibre.com.ar/yerba-kalena-500-gr-despalada-libre-de-gluten-promo-x-10/p/MLA21834138?pdp_filters=category:MLA409408#searchVariation=MLA21834138&position=48&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,44.860,NATURAL MIA,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1358678103,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cruz De Malta Selección Especial X 500g,https://www.mercadolibre.com.ar/yerba-cruz-de-malta-seleccion-especial-x-500g/p/MLA20887325?pdp_filters=category:MLA409408#searchVariation=MLA20887325&position=41&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,2.336,MEJORPRECIO.COM.AR,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1356371654,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cachamate Amarilla Con Hierbas 500g Rinde Mas Mates!,https://www.mercadolibre.com.ar/yerba-cachamate-amarilla-con-hierbas-500g-rinde-mas-mates/p/MLA19973299?pdp_filters=category:MLA409408#searchVariation=MLA19973299&position=50&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,2.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280659930,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Romance Con Palo X 1 Kg,https://www.mercadolibre.com.ar/yerba-mate-romance-con-palo-x-1-kg/p/MLA19957007?pdp_filters=category:MLA409408#searchVariation=MLA19957007&position=54&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,4.137,Mayorista Masivos,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1286077216,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Sol Y Lluvia 10 Kg (en Paquetes De 2 Kg) Floresta,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ZKroi6cyZIk41QFs3MUCxOlGbCzkyXiBNNoE3vQw5HIadIpqsNaN1Un0TAPH03Td1Yves6ag4r4tayfuRqr9v5SqITThV6f9Oh%2FODvk7FFd5aGJ4xRE1OVgN6Pj7qO8%2BrE5WdUqF4Ym%2BXpBEQljAEDGTMUXuGErnznyinXpRAnGAoEa5ogWOgOJ%2BtrsnuPPABLLzaJyS2wG9Gvxi73pQuHRL2isegf%2FgxjCDcp%2Fgdn6TsiBEaJTlEBEIN70sDbcaLKCGk4gUc6NBn2iS1qNKK%2F7Ju%2FfeG4dezmVXMkydoua%2BiyF3PuCNiAZSvORxYIzrLKv7MWcK5Pn2Yu%2B2K4cVgnUn6rL5IcbI4UzwHjfzokQONLE15Dvk6MnM1l%2BpMibvRCdENV0LTf5kd9CVmS5xBnPY0uHZWBYMJObHyN16kVNcGmJ68Vy%2F9TmvN5NG%2FcWWzEIIqnFyXIV9enuwZdXqumIjQ6cjZUaI72Zu%2FJBjq%2BncWlhTJQHaGcnoAMSTlJyqa3MdhD9MVQIzF5Y6KOX6Q30Ml9lYlSNWfgiH7gMV69rz7WIcEw4pOBeIdnBi8sY18VwYcRuOdEJ%2BdCBdsuBdtQbJSvZxTcFZ8Ikrp9%2FvZNpaoRh0YhaCgbD9MYKxBq0PNj%2BWvQXbrBwqaBE90%2FW2iQgG3IwfRRiLeVxkujyPJkNPtYJtxZukPoVxHxFytO9fhiS6P5tj3xqVQ3GYCiRCsZsjc1MI&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,57.684,HERRAJESONLINEDISTRIBUIDORA,Nuevo  |  +100 vendidos,No disponible,Nuevo  |  +100 vendidos,No disponible,#926504559,2024-04-22 10:32:53,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Barbacuá Picada Vieja 20 X 500 Gr,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Gi9MraIY8z6X11suNhSpPdLJTHk7WzbgCC1Cmn2mIExuwF%2F9I4oKP%2FbYFYIijumM6o9E7QBPa5jw9M60n3w0RL7NzOpS%2F%2BpRW8fnG8yBVErYCy7Mb0OfMHGwPUryOX8UOnOejGR5VgWNnhkYkNxq4f6TqPGIOohMvkIxK7NfncW3XLAG2yXKsrS6E2%2BlRLxh17XWmN%2FZMMTGv1rpFDQONH3n4AEyBm0TUjI0Rov2OiFvEnq2RUwMau6T4nYLk2qmSwGebVyH%2FOCVPNc6yjdlHz%2BT58AkzMfss68d3BAzYxMehExJsL8yNEkOa%2F%2FMBgrBXljWsxLX1kGKBIUeOYXkO7BIq%2BcWj3WjZ3gmK5ey3QOiPQtfMbNMkvQPO%2BXnQxaPbeUYxZmIJpQAIeaNx0mcroVl0VQhlkNS0MkMMjW%2BuP4XZzl1LHexLmtJFl4DoCe%2BqiBwawaMMouMU3NxFgAPVR98DJkx5Ey%2FjSLMXBcXXXBVxw6jR%2Fn2DcCJFpstqrXuu3aSyd%2BV3YQmzYgMvEVifzXag0zErJ%2FnEr%2BWzyNQ8ADM58kyXyYsAL7cIZODDVZI%2FFd%2FDv3qDO%2FVKAx93gBXS7t4KfrTrqYzNGZjLeEi%2FATyG00yE67dCnWJIXHYNaPe0pU36iipQ2G60kYrAPmAWOw0OxmFdgtLNHUzlnPewg1vMA68Qs6o9Av0LktzBxc9nWqRr9sbSEiDgA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,55.691,SEMILLA VIVA,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1171681729,2024-04-22 10:32:53,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Patagonia Compuesta X 150 G. - Lanzamiento,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=MNk1IcM4fTlfw3TDe%2B%2BIypA4L%2BNBK%2BZk6M1qsKY2dTNeMftMCkcXdK31m60b7HUt2sUIsIRXt3su3SUq0NzHYNh8YbyOwiepDivjiUX4rfYvDsXM5Y04nOI11FrCAN2gHmLZ%2BrEunSrQsnWS55gm2mTaoa0YRwwCMCSiDATb%2BvZpPhELkI1TAmVRUw80UBdcHaLPmyhF7U7SqVjM3Ctbf0i2SouaDM8bYUaffAwbgedIZa6vHo%2BeSxCZoAOjLCpxWNi7wUF1IFds3t94HB1bEf16iAdsIpy%2F6GwNV2RoWxeEsRZeleWlut6SXn8LTC7qT4b1IcTYRtK3%2FS2Pq4YuMslRviNS4tyDTxcEepA57XyS67c%2B0vjNOTnD117fA%2BDQk18aa%2FMj3boaZfmt6l4YMgBkYN3nKZ2fNUfQhANEgoyA5ZNlCth1B1Il75EZf%2B85tzzH6JsdvqtCf3ihNiJzFi%2BJUWCvl%2BA82uVPg%2Fa7qYIR1D9me7mN18qmEL2%2FU0JFArU6RQTSQZjLb%2BsmvRSRpwSdVgmVCnAwzHUwZYKat9ryuc%2FvUVbU4QvBCIUhhKHjOEg0PVfW6e5hhydOgaNrGcgNYoo5Tv92eXIrl87dyv3AAtLrX1smTrvX9w9dx9iHzU%2F6feljqNAXU%2FbJ%2Fsy%2B8n3%2Ff%2BZ5OzDXcORi%2Bf6W8AgWhy2EBBdO8ujHWexFPpu%2FwpYy0DLlrnCchUbHrw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,3.240,TIENDAVIDASRL,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#923628398,2024-04-22 10:32:53,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate La Tranquera Suave Seleccion Especial 1kg S/ Tacc,https://www.mercadolibre.com.ar/yerba-mate-la-tranquera-suave-seleccion-especial-1kg-s-tacc/p/MLA26540592?pdp_filters=category:MLA409408#searchVariation=MLA26540592&position=5&search_layout=stack&type=product&tracking_id=7afddfee-e6d9-4d62-a4c4-3e247d09d079,3.999,CAPSULANDIA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1482856536,2024-04-22 10:32:53,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate La Tranquera Liviana 1 Kg Suave Premium Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-la-tranquera-liviana-1-kg-suave-premium-sin-tacc/p/MLA23602865?pdp_filters=category:MLA409408#searchVariation=MLA23602865&position=8&search_layout=stack&type=product&tracking_id=7afddfee-e6d9-4d62-a4c4-3e247d09d079,3.900,CAPSULANDIA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1428208104,2024-04-22 10:32:53,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Aguantadora tradicional yerba mate misionera 1kg sin tacc BCP,https://www.mercadolibre.com.ar/aguantadora-tradicional-yerba-mate-misionera-1kg-sin-tacc-bcp/p/MLA20040361?pdp_filters=category:MLA409408#searchVariation=MLA20040361&position=18&search_layout=stack&type=product&tracking_id=7afddfee-e6d9-4d62-a4c4-3e247d09d079,4.299,TIENDA ANDALHUE,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1292461340,2024-04-22 10:32:53,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cachamate Rosa Con Hierbas Digestivas 1kg Rinde mas mates,https://www.mercadolibre.com.ar/yerba-cachamate-rosa-con-hierbas-digestivas-1kg-rinde-mas-mates/p/MLA19991742?pdp_filters=category:MLA409408#searchVariation=MLA19991742&position=20&search_layout=stack&type=product&tracking_id=7afddfee-e6d9-4d62-a4c4-3e247d09d079,3.299,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280865260,2024-04-22 10:32:53,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Laska yerba mate premium 6 x 500 gr suave sin acidez,https://www.mercadolibre.com.ar/laska-yerba-mate-premium-6-x-500-gr-suave-sin-acidez/p/MLA24076108?pdp_filters=category:MLA409408#searchVariation=MLA24076108&position=17&search_layout=stack&type=product&tracking_id=7afddfee-e6d9-4d62-a4c4-3e247d09d079,15.862,LASKA,Nuevo  |  +50 vendidos,(+50 disponibles),Nuevo  |  +50 vendidos,No disponible,#1570984016,2024-04-22 10:32:53,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Cosmico Suave 500g Sin Tacc Pack X 6 Uds,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=5Bqqj7NEy7xwZCPSt57N27Jzl4Y8ZpBjpH%2BDSAG7zvHX44Uyra1yvIqpZawXrWgEIQtl3XAO3QW9PV9eELwmpSRt2ntr6%2Bw%2FDzYIsFMr4ZmFy43oERreMxk5S03a8b2YgMggJXteW%2Br6Bscu8IpMTIsgHlWdqbSlOQaOT%2FtDGXC3sc3wDiHguUj0G5KWoFzQSCfUhe8EZDcW1%2BNLfh%2FsZX6dRWKKzOfhAwQYvwQ34OfChuL9YdgMobwmXlXGznQQHEZhWflexrJyLBF8RY1Kl9ExKVQaDBg9sry%2FZB335rxK7kr33UR61eHiBHpyeFzuQeFELhDVmMf6rab94ZqaVsQGy7fSwrDC0ODwtzqDxlOoYiWcjMS%2BkZgIDVHjZOnATqiKy1ao4y1LFYtW%2B0HFCsounGx3PSMD1Bi9u0dElPFxg0KoXxa2uebskEKwNVcJ5UbnOySuafkKkhnJkUCnNdaoRd7L7t8cRcjBA5f02MYWTEDVsHSgC2z9bBDMXvLEkdcsZb7qaL%2FRNspmSoq0ExLph1%2Ftw8pIv2B7eq9qlelgdD6GkRY2Unw%2BgS6IPiZehOLP9slBxfOWiHj19USIpy8vwrwOEILYcEgVEzZe2Of1HuM2hSYrNcCyIGD1h1k%2BkGZBZcnqFnmMCR8p%2FmxAPZCMSSpf2BapL2nmAm9UwfxeAjTezHcl1cBc7mgj6hbBjkdb2YY44dr%2FCukQgWy5&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,17.340,ASIQUEBUENOSRL,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1599591334,2024-04-22 10:32:53,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
 Yerba Mate Orgánica Roapipó Tradicional 6 X 500 Gr,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=YIKgdAFkLrkBpPE0sdLjMDkHI9hM%2FKWKdUonyahvgQCRR56mF9WJrVjvh%2FYeb5%2F8GecgXF5ISG4DyYvF%2Bu0B2RVHd6qTDxQDeRxAz3CyV46pzKSYjrPle93TfmBEIhBsCqTwk%2B1KfScpSUCu25xiRggfIRVPlnFqU6o1MxZIGIvpjBjI8hzgds4xQHQpcS8qnHWinuCCwDBiWMVdXL9Zcr5thlqMuovj%2FGqFr2chVKOhWbyjlW7Kuuqw9hNh9DEq0MOWFyZDfvbcBfGPDRMuyOnnWzcqQxELfSEycZqVpIRSkMMvj42t4s5uhBT8QAhrWU1wZwVX0jawUK0S42RSpU1hjDJmbr0Db%2FNqv3k20zkLgo7krNvIR5p52LSjRoDleL0gZYq7OivvAJEniJVN6HHB1vTDWnWA7%2BmcKk9r%2BEIz1q3oANNDrVG7CPlss9ZwMA5xYBMuMp4TXF0Cc1gjwPll237q%2FXlAXerzzOPmaqTCq7CsR0Pod3VCtFcpPbxOtZIQoFHtVhnvld1ECo6AQboccPCh9NZPl8r62UxpSN9JzISSk35ehJpQteO0QRGPd8oCt%2BB1PRaU9rhXHBUAe6rQCIGoQ32hXVOJ2cFZQ%2ByKxOeXDWffkiY5180J9a2WZHKmeN%2BmKSWOjltP4i0M0oKqP75cGAhq8b9gqaby8Ygy0ftVsLwLM%2FDhA7w%2FDBndvrL5QjyVzUvJHfJoniW%2F&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,25.660,SEMILLA VIVA,Nuevo  |  +100 vendidos,(4 disponibles),Nuevo  |  +100 vendidos,No disponible,#910960464,2024-04-22 10:32:53,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Cbse Yerba Mate Compuesta Sabor Pomelo Con Palo 500 Gr,https://www.mercadolibre.com.ar/cbse-yerba-mate-compuesta-sabor-pomelo-con-palo-500-gr/p/MLA20054981?pdp_filters=category:MLA409408#searchVariation=MLA20054981&position=13&search_layout=stack&type=product&tracking_id=7afddfee-e6d9-4d62-a4c4-3e247d09d079,2.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1279488027,2024-04-22 10:32:53,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Ajedrez Canchada premium seleccion organica 10kg,https://www.mercadolibre.com.ar/yerba-mate-ajedrez-canchada-premium-seleccion-organica-10kg/p/MLA21706411?pdp_filters=category:MLA409408#searchVariation=MLA21706411&position=15&search_layout=stack&type=product&tracking_id=7afddfee-e6d9-4d62-a4c4-3e247d09d079,63.425,YERBAS CAMPECHANAS,Nuevo  |  +500 vendidos,(5 disponibles),Nuevo  |  +500 vendidos,No disponible,#1361792983,2024-04-22 10:32:53,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Canarias Te Verde Y Jengibre 1kg,https://www.mercadolibre.com.ar/yerba-canarias-te-verde-y-jengibre-1kg/p/MLA20729900?pdp_filters=category:MLA409408#searchVariation=MLA20729900&position=4&search_layout=stack&type=product&tracking_id=7afddfee-e6d9-4d62-a4c4-3e247d09d079,8.173,TIENDANEXT,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,OFERTA DEL DÍA,#1420193983,2024-04-22 10:32:53,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cachamate Mezcla De Hierbas Amarilla 1kg,https://www.mercadolibre.com.ar/yerba-cachamate-mezcla-de-hierbas-amarilla-1kg/p/MLA20919336?pdp_filters=category:MLA409408#searchVariation=MLA20919336&position=14&search_layout=stack&type=product&tracking_id=7afddfee-e6d9-4d62-a4c4-3e247d09d079,3.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1296047206,2024-04-22 10:32:53,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Kalena X 2 Kilos,https://www.mercadolibre.com.ar/yerba-kalena-x-2-kilos/p/MLA20008494?pdp_filters=category:MLA409408#searchVariation=MLA20008494&position=7&search_layout=stack&type=product&tracking_id=7afddfee-e6d9-4d62-a4c4-3e247d09d079,13.190,YERBASJM,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1294735327,2024-04-22 10:32:53,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cachamate Hierbas Serranas Menta Peperina 1kg Rinde +,https://www.mercadolibre.com.ar/yerba-cachamate-hierbas-serranas-menta-peperina-1kg-rinde-/p/MLA21088074?pdp_filters=category:MLA409408#searchVariation=MLA21088074&position=12&search_layout=stack&type=product&tracking_id=7afddfee-e6d9-4d62-a4c4-3e247d09d079,2.999,CAPSULANDIA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1308281266,2024-04-22 10:32:53,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cbse Naranja Mas 500 Grs,https://www.mercadolibre.com.ar/yerba-cbse-naranja-mas-500-grs/p/MLA21239223?pdp_filters=category:MLA409408#searchVariation=MLA21239223&position=11&search_layout=stack&type=product&tracking_id=7afddfee-e6d9-4d62-a4c4-3e247d09d079,2.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1381165205,2024-04-22 10:32:53,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate La Buena 1kg,https://www.mercadolibre.com.ar/yerba-mate-la-buena-1kg/p/MLA22186828?pdp_filters=category:MLA409408#searchVariation=MLA22186828&position=6&search_layout=stack&type=product&tracking_id=7afddfee-e6d9-4d62-a4c4-3e247d09d079,41.999,ATDIGITAL,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1411200003,2024-04-22 10:32:53,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Amanda Seleccion Especial Con Palo 1kg Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-amanda-seleccion-especial-con-palo-1kg-sin-tacc/p/MLA19956981?pdp_filters=category:MLA409408#searchVariation=MLA19956981&position=22&search_layout=stack&type=product&tracking_id=7afddfee-e6d9-4d62-a4c4-3e247d09d079,4.599,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280709942,2024-04-22 10:32:53,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Titrayju barbacuá sin TACC 1kg,https://www.mercadolibre.com.ar/yerba-mate-titrayju-barbacua-sin-tacc-1kg/p/MLA20008367?pdp_filters=category:MLA409408#searchVariation=MLA20008367&position=24&search_layout=stack&type=product&tracking_id=7afddfee-e6d9-4d62-a4c4-3e247d09d079,7.590,YERBASJM,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1333258286,2024-04-22 10:32:53,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
