Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Yerba Mate Orgánica Pampa 1/2 Kg. Sabor Bien Suave Y Rica,https://www.mercadolibre.com.ar/yerba-mate-organica-pampa-12-kg-sabor-bien-suave-y-rica/p/MLA28515506?pdp_filters=category:MLA409408#searchVariation=MLA28515506&position=11&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,4.270,DISTRIBUIDORAMATECITO,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1400950875,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Tucangua Misionera X5kg,https://www.mercadolibre.com.ar/yerba-tucangua-misionera-x5kg/p/MLA22308446?pdp_filters=category:MLA409408#searchVariation=MLA22308446&position=14&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,22.878,TIENDA ANDALHUE,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1376169199,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Canarias Serena 1kg,https://www.mercadolibre.com.ar/yerba-mate-canarias-serena-1kg/p/MLA20008630?pdp_filters=category:MLA409408#searchVariation=MLA20008630&position=3&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,8.200,OPEN25HS ,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1355571413,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Canarias tradicional 1kg,https://www.mercadolibre.com.ar/yerba-mate-canarias-tradicional-1kg/p/MLA21186915?pdp_filters=category:MLA409408#searchVariation=MLA21186915&position=12&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,6.500,TIENDABLUARGENTINA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1414375695,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Tradicional Sin Tacc Cruz De Malta X 1kg,https://www.mercadolibre.com.ar/yerba-tradicional-sin-tacc-cruz-de-malta-x-1kg/p/MLA20068481?pdp_filters=category:MLA409408#searchVariation=MLA20068481&position=6&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,4.060,Ecomodico,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1286549848,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Grapia Milenaria 1 Kg. Estacionamiento Natural,https://www.mercadolibre.com.ar/yerba-mate-grapia-milenaria-1-kg-estacionamiento-natural/p/MLA21361701?pdp_filters=category:MLA409408#searchVariation=MLA21361701&position=24&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,5.700,Alma Nativa,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1594813528,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cachamate Sabor Coco X 500 Gr Nueva Producto! Sin Tacc,https://www.mercadolibre.com.ar/yerba-cachamate-sabor-coco-x-500-gr-nueva-producto-sin-tacc/p/MLA21882465?pdp_filters=category:MLA409408#searchVariation=MLA21882465&position=8&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,2.499,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1360784256,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Patagonia Compuesta X 150 G. - Lanzamiento,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=SDx%2F5RvtB%2B1VFpl%2BlkDI9n%2BECkeTInpmMAsQC76p%2BcIBqmVj%2FmW9ZpVNUycDWSP9enIdmr2dki%2F2la4qg%2BfVL7KB68aj4l5mTz3PFzQWCuEV3439mzkV73cqT0Uy5H06L99B7SMSUwYHalY1spG6m6vxVTg4x71HMzGmYs33mEVPt%2BGeUl6%2FvqKGLomjSJfoY9KaVN9lJypw%2FK8vpY%2F6XblIoAlURwYKeoBpjylpAoqTKZzat%2B7dv28XBwIHZuUrU9A%2BP1rvIQT%2FMMO6UchFqblc2o0s6unDi2IDUMrzQR7JYzWQ6uoi0yxd0qOXWFflS768XQNB5w%2Bb8BUKzo9NqjbZuKdm%2BTiwkzhxPaSLM3rRUrpv0qS8jbwGCL8sKxgQjF5927UjYWVn2of7WA%2Fi1vIK5rp4f5Ic6H17PkM16t%2BDvjNT3%2BdfZa4xkfdLdz6M%2B%2BKzfEpvt3RaLtxcwmv2eXToR3aNB3vmVthejoM0D36tRNF%2FShzE5oQBQ33UCTI2X5c27GM8qHhipe3oIjSBOnfPblJ%2Fnv03AEDHpGXBFNx15oD1O%2Bys4%2BVUyyuH5lhaPC0m90iqft7E0eMhYg8M2L1n3Ypi8TjSXSOMDV9oLSPkWjJIc5P3%2BvZqzj5MVZljAdJFR7kurX3m4RbQzosBKcg4IuYWEswweM%2FlsXVOqj3RMLv5hyyLtMrRNGvGs6%2BhbgPQjVpIbin2fddXocQ%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,3.240,TIENDAVIDASRL,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#923628398,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Cosmico Suave 500g Sin Tacc Pack X 6 Uds,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=rDatOUW8GPvt3HabmSZTOcKwrZpsD0fegVEebsD6krVd0yMe8I7tJReL%2FgJb4gt%2BUgLKOGLX7EIkGq4xdz2Z7Fx4OAJRS6I9RZg0IgK2PPz%2BPE3DPzNSB9B2Hl2uFF4JhJt1CcXeB9fllSTVCQD6EiF8sndRxdRtSUtXEDpqCXNAyBe04t9TP%2BoVVT7cpqig01kusC4N7E0Sa28BOHCSMTEKigsj60BbOvCUVWDbttMoC6sRbbWoVoSTB1rdPLjcQEXF8gKgQ%2BpvVI4UjmqUu25WMEtX%2FL1vpx5Ndldi28OPzm0j0RJMFUjVjgkME%2Fk0yK4qywRsqmL1b83aTvLLM2Gx6B2l%2FGQBGqG7YZnLoRxom3IWU5tkhE5KDtTgjcJXZsa%2FJ8WzVCAunQYM8utAkVfTCA4bCH6L119eYT%2FVbJvcWXD9Pi6Sznxa%2FylNvrJyHZpA%2B2zYGngFRC9IFSAdCg7k1mk7xRMmFfeHU45FfMIT5Zz4OJanzw0MVKv1%2BsN4rH5m5LKkl8Iy1sPqijkQrOmtVqbP0K0fx0txmt16qSKstUoyPeVeUwyCU9IoxoQLeF4ai0gZHeX8%2F7wMMSU5UqRwdYiTYknyvJohAa1x1ekD7CGGTnebkYT9kjBX%2FRdcghkLGxzI20ez9zjkIA2XgJjwiYxDFhnc4%2FkTRhWaPIjRZYnIGMv6CD4TpfwQHzBASWeqHR8vS41Q4jogBSBS&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,17.340,ASIQUEBUENOSRL,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1599591334,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Mañanita 4flex 500g,https://www.mercadolibre.com.ar/yerba-mate-mananita-4flex-500g/p/MLA20719063?pdp_filters=category:MLA409408#searchVariation=MLA20719063&position=21&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,2.188,MAYORISTALA20221121100650,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1628185682,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
