Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
 SLVDR agua mineral con gas en lata X12 unidades,https://www.mercadolibre.com.ar/slvdr-agua-mineral-con-gas-en-lata-x12-unidades/p/MLA20042438?pdp_filters=category:MLA413907#searchVariation=MLA20042438&position=11&search_layout=stack&type=product&tracking_id=b27f4541-db5c-41ea-8775-71febda4ee3c,10.499,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1408911428,2024-04-17 14:13:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Sierra De Los Padres 2 Litros Sin Gas Pack X6,https://www.mercadolibre.com.ar/agua-mineral-sierra-de-los-padres-2-litros-sin-gas-pack-x6/p/MLA29062951?pdp_filters=category:MLA413907#searchVariation=MLA29062951&position=14&search_layout=stack&type=product&tracking_id=b27f4541-db5c-41ea-8775-71febda4ee3c,5.635,FULL 7X24,Nuevo  |  +50 vendidos,(5 disponibles),Nuevo  |  +50 vendidos,No disponible,#1673028616,2024-04-17 14:13:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Botella Plastico San Pellegrino Gasificada X750 Italia,https://www.mercadolibre.com.ar/agua-botella-plastico-san-pellegrino-gasificada-x750-italia/p/MLA20728088?pdp_filters=category:MLA413907#searchVariation=MLA20728088&position=17&search_layout=stack&type=product&tracking_id=b27f4541-db5c-41ea-8775-71febda4ee3c,5.200,BARI,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1380881845,2024-04-17 14:13:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra de los Padres con gas 500 ml 12 unidades,https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-con-gas-500-ml-12-unidades/p/MLA21724178?pdp_filters=category:MLA413907#searchVariation=MLA21724178&position=18&search_layout=stack&type=product&tracking_id=b27f4541-db5c-41ea-8775-71febda4ee3c,7.779,ZETTA BEBIDAS,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1380303249,2024-04-17 14:13:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   botella  500 mL  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-500-ml/p/MLA16168857?pdp_filters=category:MLA413907#searchVariation=MLA16168857&position=7&search_layout=stack&type=product&tracking_id=b27f4541-db5c-41ea-8775-71febda4ee3c,658,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1741747974,2024-04-17 14:13:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral San Pellegrino 6 Pack De 250ml,https://www.mercadolibre.com.ar/agua-mineral-san-pellegrino-6-pack-de-250ml/p/MLA19472807?pdp_filters=category:MLA413907#searchVariation=MLA19472807&position=15&search_layout=stack&type=product&tracking_id=b27f4541-db5c-41ea-8775-71febda4ee3c,20.868,BARI,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1547896496,2024-04-17 14:13:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Sin Gas Natural Villamanaos 2 Litros,https://www.mercadolibre.com.ar/agua-mineral-sin-gas-natural-villamanaos-2-litros/p/MLA19769485?pdp_filters=category:MLA413907#searchVariation=MLA19769485&position=12&search_layout=stack&type=product&tracking_id=b27f4541-db5c-41ea-8775-71febda4ee3c,4.388,MEJORPRECIO.COM.AR,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1564360280,2024-04-17 14:13:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Villavicencio 500ml Con Gas La Barra Pack X12,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=3oh%2B4AqfWCENqFzbQl3Wjrfi%2BemSX4xgky1ZQ7qijP8ZEcAvgP5CCr9PyxG6IFee0qvPWAm18vSWCTtlsP5noimm7xwjRVVXgS6Ssfsmn6Pi4BNrUC1nlnha1uRi8F7%2Fb8fu57vpjmHBC5VWqZ0RJbV8XymI%2BM7XzpP3CMxlgkFl0BJyB9fh7TBflAieih6huawTp84wHZ3Qa1%2FHwmdjWRntBE6HjqoCjGQQ0avUlQaNQXS5KMye97fnTNaBrnNtKfY9HsGUnDAu5NzElJX32b1ik0anMbrtV8JE7iut9cujXqJNFx3ihq%2BEoc%2F5G82ETr7ozliAPbTpyU778vJoMAlaoJzFbddAw68FVcwuKKncISxKkKYpQeTD5ufwK748utbLGSHl9dJrZxLpWUNqNPWple1YNKzAFopa%2BLa5u9sKkomFN7f3KOBWO0Idxz2LxrXFxV%2BJ9pUZve3Oe2cd6UqvY3iAMJoQcyclcZ8PIEcht6QhpwdGE%2FTsCchGhoRBB2KMB09y8ZIdqAhukqsKXmQzBbubByAF9JDe%2B2NmXgfKh9uPe0x2STkCZsPFQDZr5zI%2F%2FtQu%2B4BrLncCMXb1dkIoX7AmykBaDxSYcUQj8NhowoyMdpO5%2FlBO2%2FPJU6el7H2cQd4N2IluJfekhIxT10td7xYQSxSdgkYJehTDAJnIfxAXl71LY9lo89wreEyHj7%2FuKMlNAMjcVutOCwv4ZcJRnFhQ4uqKBg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,21.124,LA BARRA,Nuevo  |  +100 vendidos,(5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1494921946,2024-04-17 14:13:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Villavicencio Con Gas  Pack X12 500ml  - Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=rpJM8n8Mugvneb3esLMdetkDeDs2cP62Kv14qfoC%2BaYufg0%2BaMjdtt9xEkOybN0jBiJ42Rw9Q%2B5aNI5VHXuBnCvCcvuQJeyc3hXXt55jwwdidx0%2BgWaMtDFRUPL1iGMA%2FrwdPd8JdfKpBPQiJ3L%2ByqWrQWk8EvIAbb17Q8wSrNdFDsO6CZ6jVc2AuTi3nD%2FWsq%2Blu9EM5rYyIjDtBtuiCt4oJvg%2FLFgUvLPolIVZH09rSXXAp86%2FoyfTAwk7agrMzHooPcAxvDBZUEU3UpOLY5aKC2dg4DxVA3%2FK0%2BkIpR4%2FiQgfar3F5TafxHTfnbTJPuwtVIuSUdHMnBSmA8wwAHgaPEYiwgy7towO6OxtSWHhYQ4JRj2dhIPEqqYUQKHpvIcWT60oyGzZ%2Bh88Ro7IDQBmuH3UR%2FGUe49OWP4I%2FxOvoChB6tmZk4BdStSJ7LCXY5sPqEjx%2FzL6Be55igMdZZBg%2BN42tv1E9BiBB3VPPKAzGLFpVqZM%2Bduy1QEiaDT28%2F1R2LlxTPReD6A88hv%2F3I3xbdvc02XL%2FcPKTIAJHrpSdV%2FeJgc%2FXmW9rZVvk1%2FP3uX3XUXW33QAaWdKK5ZUCvG%2BcoT3tQphl0cYQMws408mBsnpUYem3PNW3atPKW%2FPa4V1TC%2FvtLDJctooDOwvadQSdncznjTkIipP%2FVtd4OhS5%2FpUrYRmakQ9eaaH0AZH7WNGdaGF9pRbaZpUO8fLM3%2F75qHmNA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,15.580,ZETTA BEBIDAS,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1121407616,2024-04-17 14:13:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   botella  2 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-2-l/p/MLA16168863?pdp_filters=category:MLA413907#searchVariation=MLA16168863&position=26&search_layout=stack&type=product&tracking_id=b27f4541-db5c-41ea-8775-71febda4ee3c,8.295,ROXYRO68,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1160884909,2024-04-17 14:13:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
