Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Galletitas Traviata Pack Familiar Tripack Chico,https://www.mercadolibre.com.ar/galletitas-traviata-pack-familiar-tripack-chico/p/MLA22938396?pdp_filters=category:MLA1423#searchVariation=MLA22938396&position=21&search_layout=stack&type=product&tracking_id=24a75690-0d48-40a9-9729-3b506928ccb4,1.325,MEJORPRECIO.COM.AR,Nuevo  |  +10mil vendidos,(277 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1446782052,2024-01-26 17:59:24,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Frutigran Tropical 255g Galletas Dulces Granix Gr,https://www.mercadolibre.com.ar/galletitas-frutigran-tropical-255g-galletas-dulces-granix-gr/p/MLA19860523?pdp_filters=category:MLA1423#searchVariation=MLA19860523&position=25&search_layout=stack&type=product&tracking_id=24a75690-0d48-40a9-9729-3b506928ccb4,2.136,VÍVET MARKET,Nuevo  |  +1000 vendidos,(22 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1288680072,2024-01-26 17:59:24,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletas De La Fortuna Kits 70 G - Family,https://www.mercadolibre.com.ar/galletas-de-la-fortuna-kits-70-g-family/p/MLA21492128?pdp_filters=category:MLA1423#searchVariation=MLA21492128&position=29&search_layout=stack&type=product&tracking_id=24a75690-0d48-40a9-9729-3b506928ccb4,1.260,HACHI_ARG,Nuevo  |  +500 vendidos,(3 disponibles),Nuevo  |  +500 vendidos,No disponible,#1392073717,2024-01-26 17:59:24,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Pretzels Horneados Autenta Foods Snack X 1 Kg,https://www.mercadolibre.com.ar/pretzels-horneados-autenta-foods-snack-x-1-kg/p/MLA19977645?pdp_filters=category:MLA1423#searchVariation=MLA19977645&position=18&search_layout=stack&type=product&tracking_id=24a75690-0d48-40a9-9729-3b506928ccb4,13.068,MERCADOGOURMET.ONLINE,Nuevo  |  +100 vendidos,(4 disponibles),Nuevo  |  +100 vendidos,No disponible,#1388749239,2024-01-26 17:59:24,Alimentos y Bebidas,Almacén,Snacks,Snacks Salados,nan
Nuevas! Cintitas Via Vita Talitas Chimi Churri 100g Sin Tacc,https://www.mercadolibre.com.ar/nuevas-cintitas-via-vita-talitas-chimi-churri-100g-sin-tacc/p/MLA25344733?pdp_filters=category:MLA1423#searchVariation=MLA25344733&position=23&search_layout=stack&type=product&tracking_id=24a75690-0d48-40a9-9729-3b506928ccb4,999,CAPSULANDIA,Nuevo  |  +100 vendidos,(62 disponibles),Nuevo  |  +100 vendidos,No disponible,#1462596270,2024-01-26 17:59:24,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Pitusas Mousse De Chocolate Mini Galletas Dulces,https://www.mercadolibre.com.ar/galletitas-pitusas-mousse-de-chocolate-mini-galletas-dulces/p/MLA26280673?pdp_filters=category:MLA1423#searchVariation=MLA26280673&position=19&search_layout=stack&type=product&tracking_id=24a75690-0d48-40a9-9729-3b506928ccb4,654,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(58 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1384208013,2024-01-26 17:59:24,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletas De La Fortuna Granel 250 U Snack Saludable Suerte,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=VFYeCAAJEe%2BHzP17b0DT0JmvcO1zNesGGpORKtm8QicupN%2BN%2Bhm80CWK02LGyUUGbjMlRA%2FqVT1ClHp1XkbORnpZGDFzJL3pdxPL4Bzr5eQROeL%2BnVRniOTX48Iq%2BUz2DJ7JBetez8ITx7Ni0MRtPzWDMyB1kNFZWWbN32XZPSTEqd3XDAr6YsxcuA1DyDao5MxWXMMcFM5JiZ8tNLGbWB%2BDHhjoV8FJhfPa6XRY3sTIXd7lThxT%2FcztCfd6TO4BNkfzpqoAGDaNQzK%2FA6EO0DOXbmqgblWRpW4sUfpe%2BRP%2BrgpUevS9DbXLGscDCy3yiSXFFOu%2BD5XWTy%2B2E%2FvpJohVYDJP%2B6se5OGLIDhN8Pt5CU6tmJIOkmAIuycpWVLF52WLFZd8GJv%2BURNZ1G2wZZKp5cIt5oJNQa0QMXe1FjXmdd2fMYBgUyem7J4tmHID1B9%2FksxL2WnHB9DtlEAqrz%2BefJIO%2FcYFNV6bCmR0%2BL0a1WF5LsxLdxVBQRtqAElvIZyiii2cwyeZZTTlrtFpI0pakQBWGF2wQyTMwatHHZ0KxxZVgYtLESNl1cH5g3kLCnvkO79NuPUHTiKl91WuWJZG1Beo%2BQqIGKPlD5CZATR80LcsqcQNrRkRuf7GPJneWL1VqRoLqbCZd3IINOxFheF6FKrcFW2QJJVScEBdyR%2B8AqTWehbNBVLIsc53QYn4Nfg01600iHTf7IW2oTrB%2FCw%2BAzl1nw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,18.900,No disponible,Nuevo  |  +100 vendidos,No disponible,Nuevo  |  +100 vendidos,No disponible,#709131217,2024-01-26 17:59:24,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletas De Avena Sabor Chocolate Por 10 Unidades,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=%2BaqGitZa2iNvTqb6cVlZio3rKe6wIUhRODtR05EWc5kUTgsbVTi%2F4vBf4U0khLZ7YioW9iKDGy08dQltsfG%2F3KYOa08dF2KD5ZKbvlofhJ4tbNpbUn2sPoX%2F%2BAlnn%2FUjq8VQLnc9xeRR22xnWwcGfV7RIsKKHZNmB4m%2B83ZWHdgbXqHGOeyxpOsnCmBS7NFXB7lc%2F5dtmg4tpUUC4LcDkifTFYVWMIuTeNcb9dLUCmdbsdyKA%2FWMPZABSTlsqFGXqF98xYvV%2BVQAzbEfDB34CoonoNX3ryIPnpmS4sOpbqBahzMpKx2XEONI%2B2Mb1W1vlUcDPRWKGE5iuEa0oIbSVLFra5EYLm4U49VEk4EREOD2czVGdkTGNylCmexxkbMJX9n0DSkkzyjT%2FM6uIwsihd%2BI%2FRW6BozgGbDzeky%2FNcmdRhQ0z0mNYJA%2Fu0FJSPXDgB%2BccfZeR%2BKCmT9AGM2hCq%2BM91YBYGG4pzrI7hU36GrSszmYQKGWTorCSOpnLS8T9leq5FtN%2BaGxw8%2F9yP8AiZcpJ4L11C6VQTCKX093oMsnYiZAfl4rkjTa3QcOIK2eVKYMrRU3sMDZmHqBGwPvAh8HE%2FAIRuRZe5hHCgxKw1tqpx9BEH5HwZRKQlqdFlYbr%2Fvlw3sIM1lkmoV%2BcaAeQr8z54yY%2BNQIo3yi%2BzR3H56E6BtU3gs4qe11n0ePEnh6Nn%2Fae6SsCRTFipsb6k1e&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,6.190,PUNTONUEZ,Nuevo  |  +25 vendidos,(27 disponibles),Nuevo  |  +25 vendidos,No disponible,#1391743389,2024-01-26 17:59:24,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Caja 12 Galletas De Arroz Dos Hermanos Dulces 100g Sin Tacc,https://www.mercadolibre.com.ar/caja-12-galletas-de-arroz-dos-hermanos-dulces-100g-sin-tacc/p/MLA24045588?pdp_filters=category:MLA1423#searchVariation=MLA24045588&position=22&search_layout=stack&type=product&tracking_id=24a75690-0d48-40a9-9729-3b506928ccb4,11.999,CAPSULANDIA,Nuevo  |  +100 vendidos,(21 disponibles),Nuevo  |  +100 vendidos,No disponible,#1436497490,2024-01-26 17:59:24,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Oreo Milka bañadas chocolate con leche 119g,https://www.mercadolibre.com.ar/galletitas-oreo-milka-banadas-chocolate-con-leche-119g/p/MLA19868485?pdp_filters=category:MLA1423#searchVariation=MLA19868485&position=33&search_layout=stack&type=product&tracking_id=24a75690-0d48-40a9-9729-3b506928ccb4,2.365,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(246 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1262814963,2024-01-26 17:59:24,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
