Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3
Fideos Tallarín Don Vicente 500g,https://www.mercadolibre.com.ar/fideos-tallarin-don-vicente-500g/p/MLA19964512?pdp_filters=category:MLA412073#searchVariation=MLA19964512&position=1&search_layout=stack&type=product&tracking_id=d0fb4a72-f7a2-4eb9-b490-b4a2c5917c52,2.150,Ecomodico,Nuevo  |  +10mil vendidos,(103 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1688078382,2024-03-31 01:08:10,Alimentos y Bebidas,Almacén,Pastas
Fideos Tallarín Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-tallarin-matarazzo-500g/p/MLA19937131?pdp_filters=category:MLA412073#searchVariation=MLA19937131&position=3&search_layout=stack&type=product&tracking_id=d0fb4a72-f7a2-4eb9-b490-b4a2c5917c52,1.359,Ecomodico,Nuevo  |  +10mil vendidos,(418 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1410407141,2024-03-31 01:08:10,Alimentos y Bebidas,Almacén,Pastas
Fideos Spaghetti Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-spaghetti-matarazzo-500g/p/MLA19943735?pdp_filters=category:MLA412073#searchVariation=MLA19943735&position=4&search_layout=stack&type=product&tracking_id=d0fb4a72-f7a2-4eb9-b490-b4a2c5917c52,1.359,Ecomodico,Nuevo  |  +10mil vendidos,(384 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1286466941,2024-03-31 01:08:10,Alimentos y Bebidas,Almacén,Pastas
Fideos Terrabusi Tallarín N°7 500g,https://www.mercadolibre.com.ar/fideos-terrabusi-tallarin-n7-500g/p/MLA28611379?pdp_filters=category:MLA412073#searchVariation=MLA28611379&position=5&search_layout=stack&type=product&tracking_id=d0fb4a72-f7a2-4eb9-b490-b4a2c5917c52,1.082,ECOMODICO,Nuevo  |  +1000 vendidos,(753 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1397915679,2024-03-31 01:08:10,Alimentos y Bebidas,Almacén,Pastas
Tallarín Lucchetti X 500g,https://www.mercadolibre.com.ar/tallarin-lucchetti-x-500g/p/MLA29565915?pdp_filters=category:MLA412073#searchVariation=MLA29565915&position=2&search_layout=stack&type=product&tracking_id=d0fb4a72-f7a2-4eb9-b490-b4a2c5917c52,1.116,AEH MALL,Nuevo  |  +1000 vendidos,(18 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1683070444,2024-03-31 01:08:10,Alimentos y Bebidas,Almacén,Pastas
Fideos tallarín Don Felipe pastas al huevo 500g,https://www.mercadolibre.com.ar/fideos-tallarin-don-felipe-pastas-al-huevo-500g/p/MLA20081097?pdp_filters=category:MLA412073#searchVariation=MLA20081097&position=6&search_layout=stack&type=product&tracking_id=d0fb4a72-f7a2-4eb9-b490-b4a2c5917c52,2.144,TAP GROCERY,Nuevo  |  +1000 vendidos,(390 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280814696,2024-03-31 01:08:10,Alimentos y Bebidas,Almacén,Pastas
Fideos Marolio Tallarines Paquete De 500 Grs,https://www.mercadolibre.com.ar/fideos-marolio-tallarines-paquete-de-500-grs/p/MLA19957823?pdp_filters=category:MLA412073#searchVariation=MLA19957823&position=12&search_layout=stack&type=product&tracking_id=d0fb4a72-f7a2-4eb9-b490-b4a2c5917c52,1.138,ARTICULOS MOHE,Nuevo  |  +1000 vendidos,(138 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1402189361,2024-03-31 01:08:10,Alimentos y Bebidas,Almacén,Pastas
Fideos Rigatoni Verizzia 500 G,https://articulo.mercadolibre.com.ar/MLA-1371103776-fideos-rigatoni-verizzia-500-g-_JM#position=19&search_layout=stack&type=item&tracking_id=d0fb4a72-f7a2-4eb9-b490-b4a2c5917c52,800,GRUPO ELNENE,Nuevo  |  +5mil vendidos,(790 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1371103776,2024-03-31 01:08:10,Alimentos y Bebidas,Almacén,Pastas
Fideos Tallarin 500 Gr Favorita,https://www.mercadolibre.com.ar/fideos-tallarin-500-gr-favorita/p/MLA28766309?pdp_filters=category:MLA412073#searchVariation=MLA28766309&position=13&search_layout=stack&type=product&tracking_id=d0fb4a72-f7a2-4eb9-b490-b4a2c5917c52,878,ECOMODICO,Nuevo  |  +1000 vendidos,(728 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1400508857,2024-03-31 01:08:10,Alimentos y Bebidas,Almacén,Pastas
Fideos Tallarines 500 Gramos Molto,https://www.mercadolibre.com.ar/fideos-tallarines-500-gramos-molto/p/MLA19977009?pdp_filters=category:MLA412073#searchVariation=MLA19977009&position=7&search_layout=stack&type=product&tracking_id=d0fb4a72-f7a2-4eb9-b490-b4a2c5917c52,1.251,ARTICULOS MOHE,Nuevo  |  +1000 vendidos,(56 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1669222946,2024-03-31 01:08:10,Alimentos y Bebidas,Almacén,Pastas
