Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Cereal Baloncitos Chocolatados Granix Bolitas De Chocolate,https://www.mercadolibre.com.ar/cereal-baloncitos-chocolatados-granix-bolitas-de-chocolate/p/MLA19937180?pdp_filters=category:MLA1423#searchVariation=MLA19937180&position=13&search_layout=stack&type=product&tracking_id=52ff96c4-7ca6-495c-aba2-33ab86f52cc1,1.242,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1442907848,2024-04-29 10:37:16,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Chocolate Y Avena Integra 40 Gr Caja Por 10 Unidades,https://www.mercadolibre.com.ar/barra-chocolate-y-avena-integra-40-gr-caja-por-10-unidades/p/MLA21622805?pdp_filters=category:MLA1423#searchVariation=MLA21622805&position=14&search_layout=stack&type=product&tracking_id=52ff96c4-7ca6-495c-aba2-33ab86f52cc1,8.490,Integra,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1339938326,2024-04-29 10:37:16,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Aritos Frutados X 1kg - Envíos A Todo El País,https://www.mercadolibre.com.ar/aritos-frutados-x-1kg-envios-a-todo-el-pais/p/MLA25677572?pdp_filters=category:MLA1423#searchVariation=MLA25677572&position=15&search_layout=stack&type=product&tracking_id=52ff96c4-7ca6-495c-aba2-33ab86f52cc1,4.350,ALIMENTOS FUENTES,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1399289265,2024-04-29 10:37:16,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas Frutillas X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-frutillas-x-1kg-s-a-todo-el-pais/p/MLA26444837?pdp_filters=category:MLA1423#searchVariation=MLA26444837&position=16&search_layout=stack&type=product&tracking_id=52ff96c4-7ca6-495c-aba2-33ab86f52cc1,5.850,ALIMENTOS FUENTES,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1602992878,2024-04-29 10:37:16,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Caja X 10 Barritas Integra Chocolate Y Mani 41gr C/u - Dw,https://www.mercadolibre.com.ar/caja-x-10-barritas-integra-chocolate-y-mani-41gr-cu-dw/p/MLA21204927?pdp_filters=category:MLA1423#searchVariation=MLA21204927&position=17&search_layout=stack&type=product&tracking_id=52ff96c4-7ca6-495c-aba2-33ab86f52cc1,9.197,PUNTONUEZ,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1342809665,2024-04-29 10:37:16,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Chocolate X 1kg - Envios A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-chocolate-x-1kg-envios-a-todo-el-pais/p/MLA25374443?pdp_filters=category:MLA1423#searchVariation=MLA25374443&position=18&search_layout=stack&type=product&tracking_id=52ff96c4-7ca6-495c-aba2-33ab86f52cc1,6.390,ALIMENTOS FUENTES,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1602852430,2024-04-29 10:37:16,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Almendra Y Nuez Integra 41 G X 10 Unidades,https://www.mercadolibre.com.ar/barra-almendra-y-nuez-integra-41-g-x-10-unidades/p/MLA28134679?pdp_filters=category:MLA1423#searchVariation=MLA28134679&position=21&search_layout=stack&type=product&tracking_id=52ff96c4-7ca6-495c-aba2-33ab86f52cc1,9.623,GREENANDML,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1570088970,2024-04-29 10:37:16,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Barra De Cereal Muecas Amarilla Banana Y Dulce De Leche X16u,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=BhzhFsoX6Fj2YEMHzoZCWldFkX6dgVZL6yJMxpr%2FhoDoY7G4KAQDlaJsloJm6iiJh3oZiLdOdTYxzLXnuvSeVR1cGpomkbiWjvNUlVZwhYzwETVbtpBmZgw8ZhmnnSgIaiocKh13D3Q07TErcNCZCTEg5nfDh1t3Lnb18CrccDLRl27n%2BFUlyH2aeonaLAqzgT2wZ3pquPKFS8ctFVLbzpA1Ek72ceRFwrUwrVgCao21dEPok5dCSY%2FwKGPFqExViI5WR0YtBFwuPVoanQkyC2Qk2fnlEE2IfVhTcG0TceAbz%2F1ecN3iZJaJEWA2PMMThXriBsku3EmlP1RzFQUr%2BYjfsXefInzHnqSDmFjfDTmpEiJ%2Fcy3cfUHhpjNuzvX6wF4WbwTSHm7Oh4KwU3W7GMI55UToys%2BGR71Bb1ha0UfVultPgOFgmtftPBeYh6cyyz8D82xya2ieDMqaevWwwyPDMtvpBIHP6%2BgBmxPL8PbPG96ihB3JHGaDCq5dDjlZqIwp808UCYljYlZxbajjAP0VAD7PPR7WfeKToS%2FdcDamrRd1QFNo016UzDP0D2b0EEsGR1n23%2BQTksanUWKTifYqpCPs5f44f8eGNS90Zt73ZLC1%2BkE%2FGmwBVRTKG1E%2B4LkA17Saqr8pEhM8zMdg9Op1dLKLYiFAmrAqgcFoC%2BoADuF8JqAxR%2FEJNC4vX322fegtLEtv8tFDW6xJa7iC5Ls7yBtFX5OShN4%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,12.800,TIENDAMUECASOFICIAL,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1530380436,2024-04-29 10:37:16,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
"Copos De Maíz Natural Bolsa 3,5kg 3 Arroyos",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=pBNgxtavPcIeHflnzTYxD5aFfe7me6MBowAPsB9PklWfxBubMYJP8gt4AOoHQyckYFp7hwHoTlZkMldzEfP0I%2F%2FUM%2BLgnJhMBdlvVhC54W6C3aRIM0m3A2jhEXo7IZ58SIPlzw6i0hbqMx59SdoA1H9%2ByTaXPq11osrYX8dgpXZhCsAYmfGZ8ciFOUFmJ4VqTawexYUnY4KAzj5RqSh0GafSu5Om4CG72MEQhMktUXp6aL4FqV%2FHURoAowubClk0lMLMi7%2FTYzRdZP3lhoSc3ufOl96QqgeRVgM3cHt%2BxtNL75w1szhbdm%2BLAiMviyfVJw0Yj2tDdtt2pUMm4%2BDJw6ydkNSxhrqIjoJQUhic8KdFJx6a1jqRmeNl6M0k%2F3DGvU2suUsVgC3k55cuJiHHLzW%2FPHG%2FAb0zPx0UKgPDUm5m%2Fe4lhbp0LbYiGWXKGuu5PR0dT%2BccsP7pZ6NbHCuSiWBf8qbaeTavVDagcituOBFVTZQcJXLB37vZlC%2F48PcrsppRLK3%2FPcM%2FboA7xdEZRlSsR1ZTUVOvi3Wo7ugOmi3afN%2FLMkAMCJXXhMWuyGrQAELayrpJbbgVwrhOsxOWsiE0E1ttsmcOUqn%2BoDWKNzX8xCMYWQOUGsljR4NzTZ27K0J%2FjIPgCnTAaXtFeSSZ4hhexe1L%2FoRDCrhYneTipMDrxiMsR5j4gVrglFRpCtsY3tIVa6h7cg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,8.760,PUERTOGOURMETSRL,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1123803513,2024-04-29 10:37:16,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas Avellana X 500g - Envíos A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-500g-envios-a-todo-el-pais/p/MLA25809155?pdp_filters=category:MLA1423#searchVariation=MLA25809155&position=22&search_layout=stack&type=product&tracking_id=52ff96c4-7ca6-495c-aba2-33ab86f52cc1,3.557,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1381906261,2024-04-29 10:37:16,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
